Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return
top6,2020,2,February,2020-02,2020-02-07 08:00:00,2020-02-20 21:45:00,10000.0,10315.370731862355,3.1537073186235443,-0.6582362561070809,13.00486334089958,1,100.0,10315.370731862355
top6,2020,3,March,2020-03,2020-03-01 12:00:00,2020-03-30 08:00:00,10315.370731862355,10155.814661991788,-1.54677979122676,-3.194721108244858,14.301707399503064,4,25.0,10155.814661991786
top6,2020,4,April,2020-04,2020-04-01 10:45:00,2020-04-30 08:00:00,10254.560292964718,11558.096118998372,12.711767143521136,0.0,15.949902842316627,8,62.5,11446.798173351759
top6,2020,5,May,2020-05,2020-05-01 08:45:00,2020-05-31 17:45:00,11558.096118998372,11664.743247306546,0.922704978485811,-0.5265690496765285,7.64827658284693,3,33.33333333333333,11552.4183499745
top6,2020,6,June,2020-06,2020-06-02 08:00:00,2020-06-29 12:00:00,11657.006816532863,12092.377465906015,3.7348408234236796,0.0,8.023674228749314,3,0.0,11983.882786602037
top6,2020,7,July,2020-07,2020-07-03 08:15:00,2020-07-31 08:00:00,12092.377465906015,14170.044337862784,17.18162435645654,-0.7494479483416749,20.61360752767924,5,60.0,14042.908510314053
top6,2020,8,August,2020-08,2020-08-03 00:45:00,2020-08-29 08:00:00,14009.116867936244,15791.012998791173,12.719546475718913,-10.234983927688523,53.547181718800616,8,62.5,15829.102784826136
top6,2020,9,September,2020-09,2020-09-01 08:00:00,2020-09-30 20:15:00,15791.012998791173,15010.346496520282,-4.943739216291265,-7.7749525227085,29.209288772415043,7,57.14285714285714,15046.553222865636
top6,2020,10,October,2020-10,2020-10-03 08:00:00,2020-10-31 07:00:00,15010.346496520282,16244.504722408361,8.222050211660225,-0.03736069888566895,11.238939959685991,6,50.0,16283.688383973828
top6,2020,11,November,2020-11,2020-11-01 07:00:00,2020-11-30 23:45:00,16244.504722408361,18231.22049486989,12.230079072346033,-15.425908246197107,58.24487922096696,8,75.0,18275.196349228252
