Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top4,2020,1,January,2020-01,2020-01-22 07:45:00,2020-01-29 17:45:00,10000.0,10189.986983052164,1.8998698305216388,0.0,9.950824441740764,1,100.0,10189.986983052164,,,
top4,2020,2,February,2020-02,2020-02-06 08:00:00,2020-02-27 12:15:00,10189.986983052164,10565.92644530693,3.68930267408607,-1.5922823276755094,16.91353456777472,3,33.33333333333333,10565.92644530693,,,
top4,2020,3,March,2020-03,2020-03-01 12:00:00,2020-03-29 08:00:00,10565.92644530693,9543.796424948277,-9.673832442896213,-20.9669170113705,67.54543635721116,8,50.0,9543.796424948277,,,
top4,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 12:00:00,9543.796424948277,10197.254730237877,6.846943042303422,-0.9542167115370703,16.77976473628142,3,33.33333333333333,10197.254730237877,,,
top4,2020,5,May,2020-05,2020-05-01 04:45:00,2020-05-28 08:45:00,10197.254730237877,10627.693018374297,4.221119306356469,0.0,8.336349327054464,5,20.0,10627.693018374295,,,
top4,2020,6,June,2020-06,2020-06-01 08:00:00,2020-06-29 08:00:00,10627.693018374297,11583.308324033316,8.991747352947144,0.0,26.030953204651887,4,50.0,11583.308324033314,,,
top4,2020,7,July,2020-07,2020-07-03 08:45:00,2020-07-31 08:00:00,11583.308324033316,12090.75488377204,4.380843067829443,-1.1102230246251565e-14,8.879184366729874,3,33.33333333333333,12090.754883772039,,,
top4,2020,8,August,2020-08,2020-08-02 16:45:00,2020-08-31 08:15:00,12090.75488377204,14188.665772682869,17.351363989080614,-0.7937471840712251,24.13103957973822,6,33.33333333333333,14188.665772682867,,,
top4,2020,9,September,2020-09,2020-09-01 01:30:00,2020-09-30 08:00:00,14188.665772682869,19345.228157630638,36.34282791321779,-1.1102230246251565e-14,42.96098369774668,6,50.0,19345.228157630634,,,
top4,2020,10,October,2020-10,2020-10-01 19:15:00,2020-10-31 07:00:00,19345.228157630638,17589.64504879247,-9.075018885965868,-10.18907506754122,31.86662188754989,5,40.0,17589.645048792467,,,
top4,2020,11,November,2020-11,2020-11-01 07:00:00,2020-11-30 20:45:00,17589.64504879247,22489.284737606482,27.855250490972082,-12.89468586313559,52.837921875720504,11,63.63636363636363,22489.284737606475,,,
top4,2020,12,December,2020-12,2020-12-01 13:45:00,2020-12-30 07:00:00,22489.284737606482,23748.92692476264,5.60107714341751,-5.926253235930156,23.913502738720695,7,85.71428571428571,23748.926924762636,,,
top4,2021,1,January,2021-01,2021-01-02 01:45:00,2021-01-31 07:45:00,23748.92692476264,34158.33959542965,43.831086362951744,-2.7691921849369416,35.96583583535289,7,71.42857142857143,34158.33959542964,,,
top4,2021,2,February,2021-02,2021-02-01 07:00:00,2021-02-28 07:30:00,34158.33959542965,37288.00737761688,9.162236277450614,-4.123480499979449,28.41381686672097,10,80.0,51190.747656450505,49.86310301599024,True,3.2761653672576623
top4,2021,3,March,2021-03,2021-03-02 21:30:00,2021-03-28 07:00:00,37288.00737761688,47166.687547862755,26.49291518906911,-2.2826550445614435,23.949050111469774,8,87.5,64752.66901772432,,,
top4,2021,4,April,2021-04,2021-04-01 07:00:00,2021-04-29 08:00:00,47166.687547862755,45240.885985689274,-4.082969702333372,-16.633467646554678,90.02118325765612,8,37.5,62108.83716027843,,,
top4,2021,5,May,2021-05,2021-05-03 07:00:00,2021-05-31 07:00:00,45240.885985689274,56840.71964871487,25.640155824302123,-3.8035993107323307,37.38597762436348,5,40.0,78033.63978883589,,,
top4,2021,6,June,2021-06,2021-06-04 08:00:00,2021-06-30 18:45:00,56840.71964871487,60207.68238384083,5.923504761963527,-13.782259540283837,57.934428600295306,7,71.42857142857143,82655.96615766105,,,
top4,2021,7,July,2021-07,2021-07-01 06:00:00,2021-07-31 20:45:00,60207.68238384083,64445.79786622885,7.039160642937303,-5.997548317579704,33.572273559914215,4,75.0,88474.2523964707,,,
