Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return
top5,2020,2,February,2020-02,2020-02-03 08:00:00,2020-02-27 04:45:00,10000.0,10396.214096629968,3.9621409662996765,0.0,14.044350273394093,2,50.0,10396.214096629968
top5,2020,3,March,2020-03,2020-03-01 08:00:00,2020-03-30 05:15:00,10396.214096629968,11038.880012494103,6.1817302903800275,-2.0119817920781102,19.71193715243583,2,50.0,11038.8800124941
top5,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 08:00:00,11038.880012494103,12405.592312195356,12.380896414802688,-2.4683839370886917,24.012864565990522,3,66.66666666666666,12405.592312195355
top5,2020,5,May,2020-05,2020-05-01 05:00:00,2020-05-28 08:00:00,12630.768253033708,12924.188473154327,2.3230591698184533,-1.1102230246251565e-14,7.721756767083246,2,0.0,12693.781561974103
top5,2020,6,June,2020-06,2020-06-01 08:00:00,2020-06-29 08:00:00,12924.188473154327,15191.265704220625,17.54135074535157,0.0,30.802325539098486,4,25.0,14920.442308608746
top5,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-31 08:00:00,15191.265704220625,15777.166660322295,3.8568277818936902,-0.4783970258305681,11.02742003560438,1,0.0,15495.898072748589
top5,2020,8,August,2020-08,2020-08-03 00:45:00,2020-08-29 08:00:00,15597.987297667036,16864.211146259175,8.117866904414806,-6.697185989115684,36.06302181029782,6,50.0,16753.834453938096
top5,2020,9,September,2020-09,2020-09-01 08:45:00,2020-09-29 08:00:00,16864.211146259175,15332.761027129553,-9.081065849138925,-12.15547570299671,51.34520635444473,3,33.33333333333333,15232.407714920253
top5,2020,10,October,2020-10,2020-10-03 08:00:00,2020-10-31 08:00:00,15332.761027129553,15756.223401403942,2.7618142194032913,-1.1102230246251565e-14,5.29102370237813,3,33.33333333333333,15653.098517148404
top5,2020,11,November,2020-11,2020-11-04 07:00:00,2020-11-30 16:15:00,15756.223401403942,19942.89868209606,26.5715658761164,-1.9699817953400367,19.788085406724928,7,85.71428571428571,19812.371901285893
top5,2020,12,December,2020-12,2020-12-01 14:45:00,2020-12-31 16:30:00,20532.054301255444,25129.128073606647,22.389740962598715,-2.733806196569899,22.568008628686417,7,57.14285714285714,24248.310648530496
top5,2021,1,January,2021-01,2021-01-02 02:15:00,2021-01-31 07:00:00,25248.44184317176,25015.537043635777,-0.9224521694552457,-16.298325165331928,58.83821124710206,6,66.66666666666666,24024.63158089688
top5,2021,2,February,2021-02,2021-02-01 07:00:00,2021-02-28 08:00:00,25093.431572370544,29080.22838111197,15.887810311010409,-8.695915325435077,40.172071022622816,6,83.33333333333334,27841.619474388877
top5,2021,3,March,2021-03,2021-03-01 08:00:00,2021-03-31 13:00:00,29080.22838111197,33511.09493561365,15.236697925589837,-8.306001934412743,50.315962017205685,7,71.42857142857143,32083.762931293706
top5,2021,4,April,2021-04,2021-04-01 09:00:00,2021-04-29 09:00:00,33511.09493561365,35595.81394486495,6.220981478691656,-12.209776249834636,53.22790049969493,9,77.77777777777779,34079.68788091683
top5,2021,5,May,2021-05,2021-05-03 07:00:00,2021-05-31 07:00:00,35595.81394486495,36519.04882961658,2.5936613956395016,-12.133893909931459,61.4588898708892,5,60.0,34963.5995892386
top5,2021,6,June,2021-06,2021-06-04 09:00:00,2021-06-28 07:00:00,36519.04882961658,35323.46665353715,-3.273859025347403,-7.768473587458146,33.22431539595026,4,50.0,33818.940628499986
top5,2021,7,July,2021-07,2021-07-02 08:00:00,2021-07-30 07:00:00,35323.46665353715,32619.85969616055,-7.653855109676422,-10.381365918803597,48.388658189988,4,25.0,31230.4879131671
top5,2021,8,August,2021-08,2021-08-01 18:45:00,2021-08-31 08:00:00,32929.98627478624,41986.44377594506,27.502159963222162,-2.482977275218756,29.424162118204737,7,71.42857142857143,39819.54665634108
top5,2021,9,September,2021-09,2021-09-01 03:30:00,2021-09-30 00:00:00,42480.31104123695,48257.61456566454,13.599955797921016,-1.433966886681981,17.039191464736263,7,42.857142857142854,45234.987400536
top5,2021,10,October,2021-10,2021-10-02 03:30:00,2021-10-30 08:00:00,48257.61456566454,50993.873629243186,5.670108413368413,-4.85902080919689,26.14053548434237,2,50.0,47799.86022691994
top5,2021,11,November,2021-11,2021-11-03 07:00:00,2021-11-28 23:30:00,50993.873629243186,43946.9737978613,-13.819110669287815,-13.819110669287815,45.17225112382277,3,33.33333333333333,41194.34464239698
