Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return
top1,2019,10,October,2019-10,2019-10-01 17:45:00,2019-10-28 17:45:00,10000.0,10027.158360045849,0.2715836004584915,0.0,1.760062892511486,2,0.0,10027.158360045849
top1,2019,11,November,2019-11,2019-11-06 17:45:00,2019-11-30 17:45:00,10027.158360045849,10232.6961310227,2.0498107599041804,0.0,14.55221279501902,1,0.0,10232.6961310227
top1,2019,12,December,2019-12,2019-12-03 17:45:00,2019-12-29 07:45:00,10232.6961310227,10230.150013103002,-0.024882180483964955,-0.024882180483964955,0.1612549597275615,2,0.0,10230.150013103002
top1,2020,1,January,2020-01,2020-01-01 07:45:00,2020-01-31 14:15:00,10230.150013103002,12231.366182149943,19.56194353439331,-0.5991456498007586,18.457262376373876,6,66.66666666666666,12231.366182149943
top1,2020,2,February,2020-02,2020-02-02 08:00:00,2020-02-28 21:15:00,12231.366182149943,12987.417165830919,6.181247232907894,-8.142350356836992,44.576001671774556,6,66.66666666666666,12987.417165830919
top1,2020,3,March,2020-03,2020-03-01 02:00:00,2020-03-29 08:00:00,13211.311141791772,13223.060305415696,0.08893260856417395,-21.56466709328676,77.29871507934757,7,28.57142857142857,12998.967214701604
top1,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 07:45:00,13223.060305415696,14250.309053016956,7.768615765750808,-1.1102230246251565e-14,22.398400137844657,2,0.0,14008.807031127693
top1,2020,5,May,2020-05,2020-05-04 08:00:00,2020-05-28 08:00:00,14250.309053016956,14838.665013292159,4.128724212831303,-1.0142868649522851,11.185973420170042,4,50.0,14587.192038950676
top1,2020,6,June,2020-06,2020-06-01 08:00:00,2020-06-30 08:00:00,14838.665013292159,15568.226444736374,4.916624445599993,-0.9337384567588702,13.147073717912228,2,50.0,15304.389488664341
top1,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-31 08:00:00,15568.226444736374,15762.826123709578,1.2499797562939285,-2.8537465403141615,13.260725380824868,5,40.0,15495.69125909702
top1,2020,8,August,2020-08,2020-08-01 02:15:00,2020-08-31 12:00:00,15910.146063154329,18172.449626619982,14.219250750342471,-4.135719377699676,17.954370722953758,7,71.42857142857143,17699.062454726925
top1,2020,9,September,2020-09,2020-09-01 07:00:00,2020-09-29 07:00:00,18076.408386142568,18926.962576702,4.70532736586915,-6.732564795654438,24.426427186253026,8,50.0,18531.861283911465
top1,2020,10,October,2020-10,2020-10-03 09:00:00,2020-10-31 08:00:00,18926.962576702,21289.227742861873,12.480952274231715,-6.178084209087342,31.463992901308174,5,40.0,20844.81404628328
top1,2020,11,November,2020-11,2020-11-01 07:00:00,2020-11-30 11:45:00,21289.227742861873,20217.945917936788,-5.032037037061043,-15.058169818092793,52.053512245766534,6,50.0,19795.8952831678
top1,2020,12,December,2020-12,2020-12-01 14:45:00,2020-12-30 08:00:00,20894.284861439628,21257.17470861931,1.7367899862866132,-6.873204177268,22.005142424013773,5,60.0,20139.708410141644
top1,2021,1,January,2021-01,2021-01-03 08:00:00,2021-01-31 07:00:00,21257.17470861931,26450.4114112875,24.430512398067883,-1.7049481764647823,26.684219168644287,3,100.0,25059.94237021602
top1,2021,2,February,2021-02,2021-02-01 01:15:00,2021-02-28 08:00:00,27102.520541720343,36155.486490793926,33.402671663463444,-10.239505735881904,61.63356245818466,8,75.0,33430.63263919244
top1,2021,3,March,2021-03,2021-03-01 08:00:00,2021-03-30 18:00:00,36115.9025590299,39495.37064029553,9.35728541116212,-3.5567231231559027,28.427032630804934,4,50.0,36558.8323499988
top1,2021,4,April,2021-04,2021-04-01 00:15:00,2021-04-29 07:00:00,40352.3833305013,48850.28989399912,21.05924325187125,-6.231552311503674,35.83998242311472,8,62.5,44257.84578462884
top1,2021,5,May,2021-05,2021-05-03 08:00:00,2021-05-31 07:00:00,48850.28989399912,64068.73596103476,31.15323593792043,-4.792629607252829,42.08600831480629,7,85.71428571428571,58045.59690295523
top1,2021,6,June,2021-06,2021-06-04 03:00:00,2021-06-30 06:15:00,64068.73596103476,55188.19573396194,-13.860957444944411,-21.709237208499598,53.44970899731031,6,50.0,49999.92141757264
top1,2021,7,July,2021-07,2021-07-01 05:00:00,2021-07-30 04:00:00,55645.27798860316,57156.44620710961,2.7157169002120174,-8.52352324626704,25.33989527690418,8,50.0,51357.77773360238
top1,2021,8,August,2021-08,2021-08-03 07:00:00,2021-08-31 08:00:00,57156.44620710961,64843.777127277244,13.449630672124279,-4.407513900265614,24.652066770306146,7,57.14285714285714,58265.20916018238
top1,2021,9,September,2021-09,2021-09-01 07:00:00,2021-09-30 15:15:00,66297.14779638848,87758.25605863231,32.37108831311279,-9.58288708366657,58.13924020144823,6,66.66666666666666,77126.2914732449
top1,2021,10,October,2021-10,2021-10-02 07:00:00,2021-10-29 17:45:00,87758.25605863231,94084.05495340546,7.208209436781443,-0.7540229209776039,12.432579948551082,6,50.0,82685.7160934589
top1,2021,11,November,2021-11,2021-11-06 07:00:00,2021-11-30 20:45:00,94084.05495340546,110255.78763104096,17.188600858715585,-1.3902506158412486,17.799227890335803,4,25.0,96898.23379993431
top1,2021,12,December,2021-12,2021-12-01 03:30:00,2021-12-30 07:00:00,110255.78763104096,102789.68258643977,-6.771621884907941,-8.676868286174088,36.05149086482654,4,0.0,90336.6517938487
