Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,High Equity,Low Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top2,2019,12,December,2019-12,2019-12-17 07:45:00,2019-12-24 17:45:00,10000.0,10152.563461234478,10152.563461234478,10000.0,1.525634612344784,0.0,7.652476597129089,1,100.0,10152.563461234478,,,
top2,2020,1,January,2020-01,2020-01-05 17:45:00,2020-01-31 19:00:00,10152.563461234478,10232.154480336947,10232.154480336947,10152.563461234478,0.7839499788045767,0.0,6.222410052693801,1,0.0,10232.154480336949,,,
top2,2020,2,February,2020-02,2020-02-02 08:00:00,2020-02-26 08:00:00,10232.154480336947,10738.587087562388,10957.024829879389,10232.154480336949,4.949422999805653,-3.608911754183919,24.77837849281465,4,75.0,10738.58708756239,,,
top2,2020,3,March,2020-03,2020-03-01 07:45:00,2020-03-30 08:00:00,10738.587087562388,9554.409498275834,11081.469178840276,8941.238916961662,-11.027312807828205,-19.31359666609296,69.77914974841826,5,40.0,9554.409498275836,,,
top2,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 08:00:00,9554.409498275834,10353.340467843813,10353.340467843815,9554.409498275836,8.361908391221373,0.0,13.43639138016856,4,50.0,10353.340467843815,,,
top2,2020,5,May,2020-05,2020-05-04 08:45:00,2020-05-29 08:00:00,10353.340467843813,10999.552887318992,10999.552887318996,10353.340467843815,6.241583781410798,0.0,15.921482287311651,3,33.33333333333333,10999.552887318996,,,
top2,2020,6,June,2020-06,2020-06-01 02:00:00,2020-06-29 08:00:00,10999.552887318992,10755.605809835004,11441.101420361141,10780.902827966573,-2.2177908500737975,-5.770411153069988,23.25457617346213,4,25.0,10755.605809835008,,,
top2,2020,7,July,2020-07,2020-07-03 08:45:00,2020-07-31 08:00:00,10755.605809835004,10947.917591720628,10973.666924181978,10679.599545424982,1.7880144111433793,-0.9396549079247918,10.320818123717428,3,33.33333333333333,10947.91759172063,,,
top2,2020,8,August,2020-08,2020-08-02 21:30:00,2020-08-31 08:15:00,10947.917591720628,14267.67070675879,14604.842554198276,11206.637439962364,30.323146728367114,-9.52646073826362,54.240313019508456,7,71.42857142857143,14267.670706758792,,,
top2,2020,9,September,2020-09,2020-09-01 01:30:00,2020-09-30 09:00:00,14267.67070675879,15570.797441546832,16483.93818287853,14814.688313362089,9.133423118398243,-1.9179985915840025,15.766788436572417,7,42.857142857142854,15570.797441546836,,,
top2,2020,10,October,2020-10,2020-10-01 01:15:00,2020-10-31 08:00:00,15570.797441546832,14531.667783727988,16167.776480693343,14602.012243346708,-6.673580217838959,-9.684474789816544,42.80785512020675,4,0.0,14531.667783727991,,,
top2,2020,11,November,2020-11,2020-11-01 07:00:00,2020-11-30 14:15:00,14531.667783727988,17487.806522303516,18180.425533756697,15065.556734319392,20.342735483436392,-0.957445770259957,19.998675457108998,8,50.0,17487.80652230352,,,
