Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return
top6,2020,2,February,2020-02,2020-02-03 07:45:00,2020-02-10 00:00:00,10000.0,10174.018133321111,1.7401813332111216,0.0,8.653984200638662,2,50.0,10174.018133321113
top6,2020,3,March,2020-03,2020-03-01 08:00:00,2020-03-30 05:15:00,10174.018133321113,10917.861116250622,7.311201662726896,-2.194513919607155,21.338399778991256,4,25.0,10917.861116250622
top6,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 08:00:00,10917.861116250622,11889.266381320938,8.89739532979068,0.0,16.7992634955478,4,50.0,11889.266381320938
top6,2020,5,May,2020-05,2020-05-01 05:00:00,2020-05-31 17:45:00,12105.070405499608,12918.28489624581,6.717965806929471,-1.6951062494023117,16.351247081886896,6,33.33333333333333,12687.983231512839
top6,2020,6,June,2020-06,2020-06-02 08:00:00,2020-06-30 08:15:00,12909.71707656083,12950.329077213037,0.3145847458263962,-3.628284844146812,16.292392445969163,5,20.0,12727.89769131219
top6,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-31 08:00:00,12950.329077213037,13858.737963059813,7.01456218162968,-1.3647023871305564,14.022039103493375,4,25.0,13620.703989283491
top6,2020,8,August,2020-08,2020-08-03 00:45:00,2020-08-29 07:00:00,13701.345961765166,16395.260610498855,19.661678905498036,-1.5526619415214604,15.899951783118249,7,57.14285714285714,16298.763072324773
top6,2020,9,September,2020-09,2020-09-01 08:00:00,2020-09-30 20:15:00,16395.260610498855,22049.281689854146,34.48570421463557,0.0,42.711948969315024,6,50.0,21919.506296090945
top6,2020,10,October,2020-10,2020-10-03 07:00:00,2020-10-31 08:45:00,22049.281689854146,23457.41664572112,6.386307616156595,-0.12789533239039308,10.330369357419993,4,50.0,23319.353396102124
top6,2020,11,November,2020-11,2020-11-04 07:00:00,2020-11-28 08:00:00,23457.41664572112,26245.139253636065,11.884184222065453,-20.028567920277517,77.63753612742286,7,71.42857142857143,26090.668313089376
