Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return
top8,2020,3,March,2020-03,2020-03-05 08:00:00,2020-03-30 05:15:00,10000.0,9440.2350640438,-5.597649359561996,-7.168877322664247,55.13940340420734,2,0.0,9440.2350640438
top8,2020,4,April,2020-04,2020-04-03 07:45:00,2020-04-27 08:00:00,9440.2350640438,9417.631048347763,-0.23944335647034798,-1.2171765175614357,10.151821623010422,2,0.0,9417.631048347763
top8,2020,5,May,2020-05,2020-05-01 08:45:00,2020-05-28 08:00:00,9417.631048347763,9898.188000607812,5.102737087416043,0.0,13.048144216561203,3,33.33333333333333,9898.188000607812
top8,2020,6,June,2020-06,2020-06-02 08:00:00,2020-06-28 16:15:00,9898.188000607812,10478.993647158872,5.86779768696446,-1.4894075163751852,18.04188791431335,3,66.66666666666666,10478.993647158872
top8,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-31 08:00:00,10478.993647158872,11008.664814835114,5.054599568536333,-2.81230827883463,30.160853293339528,3,0.0,11008.664814835114
top8,2020,8,August,2020-08,2020-08-02 09:00:00,2020-08-28 08:00:00,11570.484572909763,12050.072844097158,4.14492814164642,-3.950369614491789,16.61050577106079,8,62.5,11464.966060764744
top8,2020,9,September,2020-09,2020-09-01 08:00:00,2020-09-29 08:00:00,12050.072844097158,13067.384169759513,8.442366604951236,-0.9828289576073179,19.71607588409717,5,20.0,12432.880526747738
top8,2020,10,October,2020-10,2020-10-03 08:00:00,2020-10-31 08:00:00,13067.384169759513,12958.901888219563,-0.8301759566463063,-2.9005690850232857,16.464654913334982,3,0.0,12329.665741896119
top8,2020,11,November,2020-11,2020-11-04 08:00:00,2020-11-29 07:00:00,12958.901888219563,15083.170624003813,16.392351405294157,-0.5454849241264603,17.632118324650488,6,66.66666666666666,14350.787877405899
top8,2020,12,December,2020-12,2020-12-01 14:45:00,2020-12-30 09:00:00,15188.920824834817,15448.55872514533,1.7093900436032872,-6.506274216754127,25.065650702757335,3,66.66666666666666,14596.098816560903
top8,2021,1,January,2021-01,2021-01-03 08:00:00,2021-01-31 08:00:00,15448.55872514533,18310.828212541463,18.5277444862042,-4.782413240360595,26.845480122427105,7,71.42857142857143,17300.426710247182
