normalized_period,symbol,original_period,out_sample_range,metric_value,selected_based_on_period
70,BTCUSDT,48,2020-02-11 17:45:00 to 2020-02-13 17:45:00,1.1817569110860495,69
78,XLMUSDT,9,2020-02-28 08:00:00 to 2020-03-01 08:00:00,0.0,77
87,VETUSDT,7,2020-03-18 08:00:00 to 2020-03-20 08:00:00,0.0,86
92,LTCUSDT,22,2020-03-27 08:00:00 to 2020-03-29 08:00:00,1.648426951733818,91
93,NEOUSDT,10,2020-03-30 08:45:00 to 2020-04-01 08:45:00,0.0,92
94,XTZUSDT,14,2020-03-31 08:00:00 to 2020-04-02 08:00:00,0.0,93
99,ZECUSDT,18,2020-04-11 08:00:00 to 2020-04-13 08:00:00,0.7269333238501349,98
100,XMRUSDT,19,2020-04-12 08:00:00 to 2020-04-14 08:00:00,2.280968545967717,99
104,VETUSDT,18,2020-04-20 08:00:00 to 2020-04-22 08:00:00,-2.983151504945181,103
105,VETUSDT,19,2020-04-23 08:00:00 to 2020-04-25 08:00:00,0.0,104
111,VETUSDT,23,2020-05-05 08:00:00 to 2020-05-07 08:00:00,4.070946680983124,110
112,ETCUSDT,33,2020-05-06 08:00:00 to 2020-05-08 08:00:00,1.6414299502778704,111
117,QTUMUSDT,25,2020-05-17 08:00:00 to 2020-05-19 08:00:00,0.0,116
118,ETCUSDT,37,2020-05-18 08:00:00 to 2020-05-20 08:00:00,0.0,117
120,XLMUSDT,37,2020-05-22 08:00:00 to 2020-05-24 08:00:00,0.0,119
123,QTUMUSDT,29,2020-05-29 08:00:00 to 2020-05-31 08:00:00,0.0,122
129,LTCUSDT,47,2020-06-10 08:00:00 to 2020-06-12 08:00:00,1.5893980010640734,128
130,IOTAUSDT,36,2020-06-11 08:00:00 to 2020-06-13 08:00:00,-4.543858462784228,129
132,BNBUSDT,38,2020-06-15 08:00:00 to 2020-06-17 08:00:00,1.3986025852206148,131
134,NEOUSDT,37,2020-06-19 08:45:00 to 2020-06-21 08:45:00,0.0,133
135,QTUMUSDT,37,2020-06-22 08:00:00 to 2020-06-24 08:00:00,0.0,134
141,LTCUSDT,55,2020-07-04 08:00:00 to 2020-07-06 08:00:00,0.0,140
145,ETHUSDT,72,2020-07-12 07:45:00 to 2020-07-14 07:45:00,0.0,144
147,BCHUSDT,66,2020-07-16 08:45:00 to 2020-07-18 08:45:00,0.8595006150061454,146
151,BNBUSDT,51,2020-07-24 08:00:00 to 2020-07-26 08:00:00,0.0,150
153,ZECUSDT,54,2020-07-28 08:00:00 to 2020-07-30 08:00:00,0.8767692747288857,152
157,ETHUSDT,80,2020-08-05 07:45:00 to 2020-08-07 07:45:00,0.0,156
158,ALGOUSDT,13,2020-08-06 09:00:00 to 2020-08-08 09:00:00,1.3611187227866504,157
159,DOGEUSDT,6,2020-08-09 09:00:00 to 2020-08-11 09:00:00,0.407160958354525,158
162,ZILUSDT,15,2020-08-14 09:00:00 to 2020-08-16 09:00:00,1.5868984707014715,161
163,XLMUSDT,66,2020-08-17 08:00:00 to 2020-08-19 08:00:00,3.8762162801274647,162
165,DOGEUSDT,10,2020-08-21 09:00:00 to 2020-08-23 09:00:00,1.8754777478513465,164
167,ADAUSDT,65,2020-08-25 08:00:00 to 2020-08-27 08:00:00,0.2378054602709562,166
169,BNBUSDT,63,2020-08-29 08:00:00 to 2020-08-31 08:00:00,0.0,168
171,ONTUSDT,64,2020-09-02 08:00:00 to 2020-09-04 08:00:00,-26.618471929241664,170
173,MKRUSDT,4,2020-09-06 07:00:00 to 2020-09-08 07:00:00,0.7893444830664339,172
175,ETHUSDT,92,2020-09-10 07:45:00 to 2020-09-12 07:45:00,0.0,174
176,ALGOUSDT,25,2020-09-11 09:00:00 to 2020-09-13 09:00:00,0.0,175
177,LTCUSDT,79,2020-09-14 08:00:00 to 2020-09-16 08:00:00,0.0,176
179,BTCUSDT,121,2020-09-17 17:45:00 to 2020-09-19 17:45:00,0.0,178
181,ETHUSDT,96,2020-09-22 07:45:00 to 2020-09-24 07:45:00,1.820522192882145,180
183,LTCUSDT,83,2020-09-26 08:00:00 to 2020-09-28 08:00:00,0.0,182
184,XMRUSDT,75,2020-09-27 08:00:00 to 2020-09-29 08:00:00,1.018068541114044,183
185,DEFIUSDT,7,2020-09-30 07:00:00 to 2020-10-02 07:00:00,0.4843932411262722,184
187,ATOMUSDT,76,2020-10-04 12:00:00 to 2020-10-06 12:00:00,0.0,186
188,QTUMUSDT,72,2020-10-05 08:00:00 to 2020-10-07 08:00:00,1.895583593133488,187
189,ONTUSDT,76,2020-10-08 08:00:00 to 2020-10-10 08:00:00,0.0,188
190,XTZUSDT,78,2020-10-09 08:00:00 to 2020-10-11 08:00:00,0.0,189
191,BTCUSDT,129,2020-10-11 17:45:00 to 2020-10-13 17:45:00,0.0,190
193,ETHUSDT,104,2020-10-16 07:45:00 to 2020-10-18 07:45:00,0.5717123517596338,192
194,ENJUSDT,2,2020-10-17 07:00:00 to 2020-10-19 07:00:00,0.0,193
195,NEOUSDT,78,2020-10-20 08:45:00 to 2020-10-22 08:45:00,3.066916234268392,194
197,BANDUSDT,25,2020-10-24 07:00:00 to 2020-10-26 07:00:00,0.5423635421780637,196
199,XLMUSDT,90,2020-10-28 08:00:00 to 2020-10-30 08:00:00,-3.67091091400367,198
201,DOGEUSDT,34,2020-11-01 09:00:00 to 2020-11-03 09:00:00,0.0,200
202,BTCUSDT,136,2020-11-01 17:45:00 to 2020-11-03 17:45:00,0.4442803883472151,201
203,YFIUSDT,18,2020-11-05 07:00:00 to 2020-11-07 07:00:00,9.3399408582694,202
204,CRVUSDT,18,2020-11-06 07:00:00 to 2020-11-08 07:00:00,1.374900000000016,203
205,DASHUSDT,89,2020-11-09 08:00:00 to 2020-11-11 08:00:00,0.0,204
207,VETUSDT,87,2020-11-13 08:00:00 to 2020-11-15 08:00:00,2.6982711827813364,206
209,XTZUSDT,91,2020-11-17 08:00:00 to 2020-11-19 08:00:00,-0.3021272462360502,208
211,COMPUSDT,44,2020-11-21 09:00:00 to 2020-11-23 09:00:00,8.291391402501867,210
213,LTCUSDT,103,2020-11-25 08:00:00 to 2020-11-27 08:00:00,-14.112349429728004,212
214,UNIUSDT,19,2020-11-26 07:00:00 to 2020-11-28 07:00:00,-1.6058524239889267,213
215,XMRUSDT,96,2020-11-29 08:00:00 to 2020-12-01 08:00:00,0.0,214
217,ETHUSDT,120,2020-12-03 07:45:00 to 2020-12-05 07:45:00,0.0,216
218,ENJUSDT,18,2020-12-04 07:00:00 to 2020-12-06 07:00:00,9.658271369156193,217
219,ZECUSDT,98,2020-12-07 08:00:00 to 2020-12-09 08:00:00,0.0,218
220,BANDUSDT,40,2020-12-08 07:00:00 to 2020-12-10 07:00:00,-0.4328239294488594,219
221,AXSUSDT,3,2020-12-11 07:00:00 to 2020-12-13 07:00:00,-1.0547264989785434,220
222,ETHUSDT,123,2020-12-12 07:45:00 to 2020-12-14 07:45:00,0.0,221
223,SUSHIUSDT,30,2020-12-15 07:00:00 to 2020-12-17 07:00:00,1.97049186572227,222
225,NEOUSDT,98,2020-12-19 08:45:00 to 2020-12-21 08:45:00,1.0312894647655777,224
226,YFIUSDT,33,2020-12-20 07:00:00 to 2020-12-22 07:00:00,-0.3666534948945081,225
227,YFIUSDT,34,2020-12-23 07:00:00 to 2020-12-25 07:00:00,-5.615527010217647,226
228,ZRXUSDT,57,2020-12-24 09:00:00 to 2020-12-26 09:00:00,1.7160715860517484,227
229,AAVEUSDT,20,2020-12-27 07:00:00 to 2020-12-29 07:00:00,-0.0339408782419923,228
231,KAVAUSDT,48,2020-12-31 07:00:00 to 2021-01-02 07:00:00,0.0,230
233,BTCUSDT,157,2021-01-03 17:45:00 to 2021-01-05 17:45:00,1.837176443263543,232
234,RSRUSDT,22,2021-01-05 07:00:00 to 2021-01-07 07:00:00,6.720294262351199,233
235,STORJUSDT,34,2021-01-08 07:00:00 to 2021-01-10 07:00:00,10.386423174883602,234
237,EGLDUSDT,36,2021-01-12 07:00:00 to 2021-01-14 07:00:00,3.7180604025152935,236
239,UNIUSDT,36,2021-01-16 07:00:00 to 2021-01-18 07:00:00,0.0,238
241,BELUSDT,17,2021-01-20 07:00:00 to 2021-01-22 07:00:00,6.4276632855542815,240
243,LTCUSDT,123,2021-01-24 08:00:00 to 2021-01-26 08:00:00,-0.1610895511350827,242
245,BANDUSDT,57,2021-01-28 07:00:00 to 2021-01-30 07:00:00,0.3433562038352101,244
246,RUNEUSDT,45,2021-01-29 07:00:00 to 2021-01-31 07:00:00,0.0,245
247,ETHUSDT,140,2021-02-01 07:45:00 to 2021-02-03 07:45:00,0.0,246
248,AVAXUSDT,40,2021-02-02 07:00:00 to 2021-02-04 07:00:00,0.0,247
249,VETUSDT,115,2021-02-05 08:00:00 to 2021-02-07 08:00:00,0.4674921571782033,248
251,ETCUSDT,126,2021-02-09 08:00:00 to 2021-02-11 08:00:00,0.0,250
253,LRCUSDT,35,2021-02-13 07:00:00 to 2021-02-15 07:00:00,-0.5281466748740786,252
254,CHZUSDT,4,2021-02-14 07:00:00 to 2021-02-16 07:00:00,-0.2472299108753213,253
255,LTCUSDT,131,2021-02-17 08:00:00 to 2021-02-19 08:00:00,1.830070318246453,254
257,IOTAUSDT,121,2021-02-21 08:00:00 to 2021-02-23 08:00:00,-0.5007861283439706,256
259,ATOMUSDT,124,2021-02-25 12:00:00 to 2021-02-27 12:00:00,6.01414187979075,258
261,DOGEUSDT,74,2021-03-01 09:00:00 to 2021-03-03 09:00:00,0.0,260
263,SKLUSDT,25,2021-03-05 07:30:00 to 2021-03-07 07:30:00,6.111260226603899,262
265,LRCUSDT,43,2021-03-09 07:00:00 to 2021-03-11 07:00:00,2.090617363992151,264
267,ZECUSDT,130,2021-03-13 08:00:00 to 2021-03-15 08:00:00,3.2744043899682764,266
269,BANDUSDT,73,2021-03-17 07:00:00 to 2021-03-19 07:00:00,0.826793770748045,268
271,FILUSDT,48,2021-03-21 06:00:00 to 2021-03-23 06:00:00,-3.5369877683830966,270
273,CHZUSDT,17,2021-03-25 07:00:00 to 2021-03-27 07:00:00,3.56915635816873,272
274,ADAUSDT,136,2021-03-26 08:00:00 to 2021-03-28 08:00:00,0.0,273
275,NEARUSDT,51,2021-03-29 08:00:00 to 2021-03-31 08:00:00,0.0,274
277,BNBUSDT,135,2021-04-02 08:00:00 to 2021-04-04 08:00:00,3.5713865319037357,276
279,FLMUSDT,59,2021-04-06 07:00:00 to 2021-04-08 07:00:00,-0.5586324719176081,278
281,HBARUSDT,4,2021-04-10 07:00:00 to 2021-04-12 07:00:00,3.7647002769080062,280
283,ZRXUSDT,94,2021-04-14 09:00:00 to 2021-04-16 09:00:00,-0.590714263657228,282
285,ALGOUSDT,98,2021-04-18 09:00:00 to 2021-04-20 09:00:00,-15.41047690749792,284
286,XMRUSDT,143,2021-04-19 08:00:00 to 2021-04-21 08:00:00,5.118869721298033,285
287,ADAUSDT,145,2021-04-22 08:00:00 to 2021-04-24 08:00:00,-5.7504397544036685,286
289,ATOMUSDT,144,2021-04-26 12:00:00 to 2021-04-28 12:00:00,2.0574551800478367,288
291,DOGEUSDT,94,2021-04-30 09:00:00 to 2021-05-02 09:00:00,0.0269004746164137,290
293,YFIUSDT,78,2021-05-04 07:00:00 to 2021-05-06 07:00:00,4.679907447480527,292
294,SUSHIUSDT,77,2021-05-05 07:00:00 to 2021-05-07 07:00:00,6.748062401312273,293
295,DENTUSDT,11,2021-05-08 04:00:00 to 2021-05-10 04:00:00,3.737092755978738,294
296,ENJUSDT,70,2021-05-09 07:00:00 to 2021-05-11 07:00:00,-0.7872383532047207,295
297,ENJUSDT,71,2021-05-12 07:00:00 to 2021-05-14 07:00:00,-1.838867930436336,296
298,ADAUSDT,152,2021-05-13 08:00:00 to 2021-05-15 08:00:00,6.1125725936037085,297
299,DEFIUSDT,83,2021-05-16 07:00:00 to 2021-05-18 07:00:00,6.881872264973153,298
300,RUNEUSDT,81,2021-05-17 07:00:00 to 2021-05-19 07:00:00,-5.113172070761302,299
301,CRVUSDT,83,2021-05-20 07:00:00 to 2021-05-22 07:00:00,1.9197585913229345,300
303,CHZUSDT,37,2021-05-24 07:00:00 to 2021-05-26 07:00:00,0.0,302
305,SFPUSDT,27,2021-05-28 07:00:00 to 2021-05-30 07:00:00,-0.0297172369410691,304
307,CRVUSDT,87,2021-06-01 07:00:00 to 2021-06-03 07:00:00,0.0,306
309,ALGOUSDT,114,2021-06-05 09:00:00 to 2021-06-07 09:00:00,0.9357548889116332,308
311,DEFIUSDT,91,2021-06-09 07:00:00 to 2021-06-11 07:00:00,3.2508059227321793,310
313,ANKRUSDT,42,2021-06-13 07:00:00 to 2021-06-15 07:00:00,0.0,312
315,ENJUSDT,83,2021-06-17 07:00:00 to 2021-06-19 07:00:00,-2.0731501015725007,314
317,ALPHAUSDT,66,2021-06-21 07:00:00 to 2021-06-23 07:00:00,-13.508863204490318,316
318,XLMUSDT,169,2021-06-22 08:00:00 to 2021-06-24 08:00:00,7.205147439234424,317
319,BNBUSDT,163,2021-06-25 08:00:00 to 2021-06-27 08:00:00,0.0,318
321,ZECUSDT,166,2021-06-29 08:00:00 to 2021-07-01 08:00:00,-0.0188172920120268,320
323,CELRUSDT,28,2021-07-03 07:00:00 to 2021-07-05 07:00:00,0.0,322
325,XLMUSDT,174,2021-07-07 08:00:00 to 2021-07-09 08:00:00,-4.992272743992289,324
326,EGLDUSDT,95,2021-07-08 07:00:00 to 2021-07-10 07:00:00,0.5021797702059303,325
327,AVAXUSDT,93,2021-07-11 07:00:00 to 2021-07-13 07:00:00,0.8444657508976706,326
328,HBARUSDT,35,2021-07-12 07:00:00 to 2021-07-14 07:00:00,-0.0302785620442591,327
329,YFIUSDT,102,2021-07-15 07:00:00 to 2021-07-17 07:00:00,-5.850182199026822,328
331,ZILUSDT,128,2021-07-19 09:00:00 to 2021-07-21 09:00:00,-8.44908626393557,330
332,ONTUSDT,171,2021-07-20 08:00:00 to 2021-07-22 08:00:00,2.7803917175308923,331
333,ONTUSDT,172,2021-07-23 08:00:00 to 2021-07-25 08:00:00,0.0,332
334,DEFIUSDT,106,2021-07-24 07:00:00 to 2021-07-26 07:00:00,0.0,333
335,UNIUSDT,100,2021-07-27 07:00:00 to 2021-07-29 07:00:00,4.701338255680294,334
337,CRVUSDT,107,2021-07-31 07:00:00 to 2021-08-02 07:00:00,1.4248125000000074,336
338,FLMUSDT,98,2021-08-01 07:00:00 to 2021-08-03 07:00:00,2.184798659660046,337
339,AVAXUSDT,101,2021-08-04 07:00:00 to 2021-08-06 07:00:00,0.8251418918918717,338
340,ALPHAUSDT,81,2021-08-05 07:00:00 to 2021-08-07 07:00:00,3.6640631940605273,339
341,IOTAUSDT,177,2021-08-08 08:00:00 to 2021-08-10 08:00:00,0.6815131575501983,340
343,SNXUSDT,117,2021-08-12 07:00:00 to 2021-08-14 07:00:00,0.3953436187980879,342
344,MTLUSDT,41,2021-08-13 07:00:00 to 2021-08-15 07:00:00,5.171834501974063,343
345,GTCUSDT,18,2021-08-16 03:30:00 to 2021-08-18 03:30:00,-4.0973576898575805,344
347,AXSUSDT,87,2021-08-20 07:00:00 to 2021-08-22 07:00:00,0.0,346
349,RSRUSDT,99,2021-08-24 07:00:00 to 2021-08-26 07:00:00,7.664282569362441,348
350,EGLDUSDT,111,2021-08-25 07:00:00 to 2021-08-27 07:00:00,5.718263288030448,349
351,MTLUSDT,46,2021-08-28 07:00:00 to 2021-08-30 07:00:00,0.868847837300109,350
353,IOTAUSDT,185,2021-09-01 08:00:00 to 2021-09-03 08:00:00,1.5978642590286474,352
355,SXPUSDT,133,2021-09-05 09:00:00 to 2021-09-07 09:00:00,-0.6520864802590768,354
357,GRTUSDT,84,2021-09-09 07:00:00 to 2021-09-11 07:00:00,0.0,356
359,ALPHAUSDT,94,2021-09-13 07:00:00 to 2021-09-15 07:00:00,0.0,358
361,STORJUSDT,118,2021-09-17 07:00:00 to 2021-09-19 07:00:00,0.0,360
363,ENJUSDT,115,2021-09-21 07:00:00 to 2021-09-23 07:00:00,0.0,362
365,CELRUSDT,56,2021-09-25 07:00:00 to 2021-09-27 07:00:00,10.78974027285696,364
367,SUSHIUSDT,126,2021-09-29 07:00:00 to 2021-10-01 07:00:00,0.0,366
369,DOGEUSDT,146,2021-10-03 09:00:00 to 2021-10-05 09:00:00,0.0,368
371,XTZUSDT,199,2021-10-07 08:00:00 to 2021-10-09 08:00:00,1.9674774945878384,370
372,CHRUSDT,66,2021-10-08 07:00:00 to 2021-10-10 07:00:00,-3.046100185126834,371
373,RSRUSDT,115,2021-10-11 07:00:00 to 2021-10-13 07:00:00,-1.3937885667995942,372
375,DOGEUSDT,150,2021-10-15 09:00:00 to 2021-10-17 09:00:00,0.0,374
377,HBARUSDT,68,2021-10-19 07:00:00 to 2021-10-21 07:00:00,0.0,376
378,CRVUSDT,134,2021-10-20 07:00:00 to 2021-10-22 07:00:00,0.9619789251844122,377
379,AAVEUSDT,120,2021-10-23 07:00:00 to 2021-10-25 07:00:00,0.9933387190333814,378
380,ALICEUSDT,70,2021-10-24 03:00:00 to 2021-10-26 03:00:00,0.4036835913848335,379
381,AVAXUSDT,129,2021-10-27 07:00:00 to 2021-10-29 07:00:00,-5.801746731185667,380
383,ARUSDT,7,2021-10-31 03:30:00 to 2021-11-02 03:30:00,0.0,382
385,SUSHIUSDT,138,2021-11-04 07:00:00 to 2021-11-06 07:00:00,0.5304620845753015,384
387,COTIUSDT,77,2021-11-08 07:00:00 to 2021-11-10 07:00:00,0.0,386
389,BAKEUSDT,55,2021-11-12 07:00:00 to 2021-11-14 07:00:00,2.793940019732381,388
391,RUNEUSDT,142,2021-11-16 07:00:00 to 2021-11-18 07:00:00,-6.6591277397303745,390
393,ALICEUSDT,79,2021-11-20 03:00:00 to 2021-11-22 03:00:00,-1.0555394865759082,392
395,ADAUSDT,217,2021-11-24 08:00:00 to 2021-11-26 08:00:00,-1.1362163378571313,394
396,ANKRUSDT,97,2021-11-25 07:00:00 to 2021-11-27 07:00:00,2.385983319176084,395
397,ANKRUSDT,98,2021-11-28 07:00:00 to 2021-11-30 07:00:00,-4.473554828762771,396
398,GTCUSDT,53,2021-11-29 03:30:00 to 2021-12-01 03:30:00,-5.202931327832048,397
399,1INCHUSDT,110,2021-12-02 10:00:00 to 2021-12-04 10:00:00,-27.967541461785668,398
401,BTCUSDT,269,2021-12-05 17:45:00 to 2021-12-07 17:45:00,0.0,400
403,DENTUSDT,83,2021-12-10 04:00:00 to 2021-12-12 04:00:00,0.0,402
404,LPTUSDT,6,2021-12-11 03:30:00 to 2021-12-13 03:30:00,0.0,403
405,ALICEUSDT,87,2021-12-14 03:00:00 to 2021-12-16 03:00:00,0.0,404
406,YFIUSDT,153,2021-12-15 07:00:00 to 2021-12-17 07:00:00,0.0,405
407,IOTAUSDT,221,2021-12-18 08:00:00 to 2021-12-20 08:00:00,-0.6305818049091068,406
409,MANAUSDT,90,2021-12-22 07:00:00 to 2021-12-24 07:00:00,0.0,408
411,BCHUSDT,242,2021-12-26 08:45:00 to 2021-12-28 08:45:00,0.0,410
413,SFPUSDT,99,2021-12-30 07:00:00 to 2022-01-01 07:00:00,1.8774333667430256,412
415,STORJUSDT,154,2022-01-03 07:00:00 to 2022-01-05 07:00:00,2.626813361710065,414
417,AVAXUSDT,153,2022-01-07 07:00:00 to 2022-01-09 07:00:00,-0.298648557551005,416
419,HBARUSDT,96,2022-01-11 07:00:00 to 2022-01-13 07:00:00,0.0,418
421,COMPUSDT,184,2022-01-15 09:00:00 to 2022-01-17 09:00:00,0.0,420
423,CHZUSDT,117,2022-01-19 07:00:00 to 2022-01-21 07:00:00,-2.492230466672063,422
425,XTZUSDT,235,2022-01-23 08:00:00 to 2022-01-25 08:00:00,1.2695921052631458,424
427,LINKUSDT,243,2022-01-27 08:00:00 to 2022-01-29 08:00:00,0.0,426
428,ZECUSDT,237,2022-01-28 08:00:00 to 2022-01-30 08:00:00,0.0,427
429,VETUSDT,235,2022-01-31 08:00:00 to 2022-02-02 08:00:00,0.0,428
430,NEARUSDT,154,2022-02-01 08:00:00 to 2022-02-03 08:00:00,0.0,429
431,MKRUSDT,176,2022-02-04 07:00:00 to 2022-02-06 07:00:00,0.0,430
433,CTSIUSDT,31,2022-02-08 03:30:00 to 2022-02-10 03:30:00,0.0,432
435,ENJUSDT,163,2022-02-12 07:00:00 to 2022-02-14 07:00:00,0.01394383213139,434
437,NEARUSDT,159,2022-02-16 08:00:00 to 2022-02-18 08:00:00,1.0860860620930544,436
439,C98USDT,56,2022-02-20 03:30:00 to 2022-02-22 03:30:00,-2.485882489923024,438
440,DOGEUSDT,193,2022-02-21 09:00:00 to 2022-02-23 09:00:00,3.6588687588302857,439
441,ENJUSDT,167,2022-02-24 07:00:00 to 2022-02-26 07:00:00,-2.9605291860415126,440
443,MKRUSDT,184,2022-02-28 07:00:00 to 2022-03-02 07:00:00,1.9169292280429728,442
445,DENTUSDT,111,2022-03-04 04:00:00 to 2022-03-06 04:00:00,2.525424441524319,444
447,FLMUSDT,171,2022-03-08 07:00:00 to 2022-03-10 07:00:00,0.0,446
449,BAKEUSDT,95,2022-03-12 07:00:00 to 2022-03-14 07:00:00,1.0323054325955672,448
450,RUNEUSDT,181,2022-03-13 07:00:00 to 2022-03-15 07:00:00,3.164988649866555,449
451,SNXUSDT,189,2022-03-16 07:00:00 to 2022-03-18 07:00:00,1.3252159559834946,450
453,VETUSDT,251,2022-03-20 08:00:00 to 2022-03-22 08:00:00,1.1439152542372903,452
455,BANDUSDT,197,2022-03-24 07:00:00 to 2022-03-26 07:00:00,0.8682729357798054,454
456,COMPUSDT,207,2022-03-25 09:00:00 to 2022-03-27 09:00:00,1.2079170385928046,455
457,SUSHIUSDT,186,2022-03-28 07:00:00 to 2022-03-30 07:00:00,5.439970196775339,456
459,NKNUSDT,115,2022-04-01 07:00:00 to 2022-04-03 07:00:00,5.6267375123779315,458
461,AXSUSDT,163,2022-04-05 07:00:00 to 2022-04-07 07:00:00,-1.7900453199327604,460
462,ZRXUSDT,213,2022-04-06 09:00:00 to 2022-04-08 09:00:00,-3.887078773603207,461
463,1000XECUSDT,64,2022-04-09 03:30:00 to 2022-04-11 03:30:00,0.2860166224229942,462
464,DOGEUSDT,209,2022-04-10 09:00:00 to 2022-04-12 09:00:00,-4.651205882107388,463
465,DUSKUSDT,28,2022-04-13 03:30:00 to 2022-04-15 03:30:00,0.0,464
467,SKLUSDT,161,2022-04-17 07:30:00 to 2022-04-19 07:30:00,0.8674232819074315,466
468,CHRUSDT,130,2022-04-18 07:00:00 to 2022-04-20 07:00:00,0.913287795757442,467
469,FILUSDT,180,2022-04-21 06:00:00 to 2022-04-23 06:00:00,0.0,468
471,EGLDUSDT,192,2022-04-25 07:00:00 to 2022-04-27 07:00:00,4.243025857109132,470
473,BAKEUSDT,111,2022-04-29 07:00:00 to 2022-05-01 07:00:00,-11.142019787895444,472
474,SUSHIUSDT,197,2022-04-30 07:00:00 to 2022-05-02 07:00:00,-8.263306760335436,473
475,ZENUSDT,171,2022-05-03 07:00:00 to 2022-05-05 07:00:00,0.0,474
476,GTCUSDT,105,2022-05-04 03:30:00 to 2022-05-06 03:30:00,-0.3486678193213811,475
477,GRTUSDT,164,2022-05-07 07:00:00 to 2022-05-09 07:00:00,0.0,476
479,PEOPLEUSDT,42,2022-05-11 04:00:00 to 2022-05-13 04:00:00,-35.60856644263319,478
481,RUNEUSDT,202,2022-05-15 07:00:00 to 2022-05-17 07:00:00,0.0,480
483,KAVAUSDT,216,2022-05-19 07:00:00 to 2022-05-21 07:00:00,1.4435210599839048,482
485,API3USDT,26,2022-05-23 03:30:00 to 2022-05-25 03:30:00,0.4211857707509989,484
487,STORJUSDT,202,2022-05-27 07:00:00 to 2022-05-29 07:00:00,0.8709381300652421,486
489,RLCUSDT,219,2022-05-31 07:00:00 to 2022-06-02 07:00:00,-6.483325215490167,488
490,JASMYUSDT,10,2022-06-01 03:30:00 to 2022-06-03 03:30:00,-3.063245627980923,489
491,HBARUSDT,144,2022-06-04 07:00:00 to 2022-06-06 07:00:00,0.0,490
492,ONEUSDT,144,2022-06-05 07:00:00 to 2022-06-07 07:00:00,-0.2016734693877515,491
493,MANAUSDT,146,2022-06-08 07:00:00 to 2022-06-10 07:00:00,0.0,492
495,KAVAUSDT,224,2022-06-12 07:00:00 to 2022-06-14 07:00:00,0.142029455080683,494
497,JASMYUSDT,15,2022-06-16 03:30:00 to 2022-06-18 03:30:00,-0.2245482598435774,496
498,DASHUSDT,284,2022-06-17 08:00:00 to 2022-06-19 08:00:00,0.0,497
499,AAVEUSDT,200,2022-06-20 07:00:00 to 2022-06-22 07:00:00,-4.412121934169809,498
501,ATAUSDT,95,2022-06-24 03:30:00 to 2022-06-26 03:30:00,0.0,500
