Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return,Original Return (%),Is Outlier,Z-Score
top7,2020,2,February,2020-02,2020-02-03 08:00:00,2020-02-04 15:15:00,10000.0,10062.96603773585,0.6296603773584986,0.0,0.0,1,100.0,10062.96603773585,,,
top7,2020,3,March,2020-03,2020-03-01 08:00:00,2020-03-30 05:15:00,10062.96603773585,10239.612210320116,1.7554086133436897,0.0,7.395748102520027,2,50.0,10239.612210320114,,,
top7,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 08:00:00,10239.612210320116,10942.399240398934,6.863414508710641,-2.9831515049451918,19.35267105474346,4,50.0,10942.399240398932,,,
top7,2020,5,May,2020-05,2020-05-04 08:00:00,2020-05-28 08:00:00,10942.399240398934,10550.4773223479,-3.5816817632103204,-5.079615678928873,17.043590255129406,4,25.0,10550.4773223479,,,
top7,2020,6,June,2020-06,2020-06-01 08:00:00,2020-06-29 08:00:00,10550.4773223479,11118.416993082397,5.383070863831851,-2.220446049250313e-14,10.725576317175477,4,50.0,11118.416993082395,,,
top7,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-30 17:45:00,11118.416993082397,12163.104146402715,9.396006229756404,-2.81230827883463,28.919809294888125,2,0.0,12163.104146402713,,,
top7,2020,8,August,2020-08,2020-08-04 08:00:00,2020-08-31 08:15:00,12163.104146402715,13672.26901707007,12.407727932788415,-0.5542678591563988,18.572849866402585,4,50.0,13672.269017070066,,,
top7,2020,9,September,2020-09,2020-09-01 01:30:00,2020-09-28 17:45:00,13672.26901707007,14741.85994518877,7.8230681884864595,-2.693382840195646,23.06408078325994,6,16.666666666666664,14741.859945188764,,,
top7,2020,10,October,2020-10,2020-10-03 08:00:00,2020-10-31 07:00:00,14741.85994518877,15524.387352248388,5.308199982696271,0.0,10.069144215751443,4,25.0,15524.387352248383,,,
top7,2020,11,November,2020-11,2020-11-01 07:00:00,2020-11-30 23:45:00,15524.387352248388,21316.848918461117,37.31201389646988,-6.244521825046101,52.069734990426596,7,42.857142857142854,21316.84891846111,,,
