Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top10,2020,2,February,2020-02,2020-02-10 17:45:00,2020-02-11 15:30:00,10000.0,10118.175691108603,1.1817569110860404,0.0,0.0,1,100.0
top10,2020,3,March,2020-03,2020-03-02 08:15:00,2020-03-28 08:45:00,10118.175691108605,10202.451128481827,0.8329113858665194,-0.8022903947687676,10.81675664166841,2,50.0
top10,2020,4,April,2020-04,2020-04-11 08:00:00,2020-04-23 08:00:00,10202.451128481827,10545.874845631792,3.3660902936475834,0.0,13.55085536631593,2,100.0
top10,2020,6,June,2020-06,2020-06-18 08:00:00,2020-06-20 20:15:00,10545.874845631792,10594.014000708064,0.4564737945492725,0.0,0.0,1,100.0
top10,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-27 08:15:00,10594.014000708064,10907.59482427862,2.959981207780138,0.0,13.94674552360455,2,0.0
top10,2020,8,August,2020-08,2020-08-04 08:00:00,2020-08-28 08:00:00,10907.59482427862,10321.080636075885,-5.37711748237334,-7.694167464355139,26.835594816532353,4,75.0
top10,2020,9,September,2020-09,2020-09-01 08:15:00,2020-09-30 09:00:00,10321.080636075885,11977.233066442092,16.046308412486955,-1.764601595298665,21.669382642859777,4,50.0
top10,2020,10,October,2020-10,2020-10-02 14:15:00,2020-10-31 07:00:00,11842.345201372078,12046.789826551869,1.726386300207694,-2.370035442365004,23.61034252270613,3,33.33333333333333
top10,2020,11,November,2020-11,2020-11-01 08:00:00,2020-11-28 07:00:00,12199.996965190734,14346.129930576155,17.591258190545524,-0.42474939830362546,19.644304626616055,6,66.66666666666666
top10,2020,12,December,2020-12,2020-12-02 08:00:00,2020-12-30 07:00:00,14346.129930576155,16791.120606946504,17.04285886299759,-0.3550852050965725,15.686072673726411,5,60.0
top10,2021,1,January,2021-01,2021-01-03 08:00:00,2021-01-31 07:00:00,16791.120606946504,19231.972916155904,14.536565881133722,-7.705528278881147,44.02784665768616,6,83.33333333333334
top10,2021,2,February,2021-02,2021-02-01 01:30:00,2021-02-28 09:00:00,19415.363881991037,32418.394285195027,66.97289055326495,-10.59122008142258,80.22842798521964,9,88.88888888888889
top10,2021,3,March,2021-03,2021-03-04 08:00:00,2021-03-28 07:30:00,32418.394285195027,44442.11553098472,37.08919430127586,-2.5668860667684035,33.30221130102081,9,88.88888888888889
top10,2021,4,April,2021-04,2021-04-01 12:00:00,2021-04-30 08:00:00,44442.11553098472,47153.04061252498,6.0999010716540125,-17.01754746994447,46.4065825164007,8,37.5
top10,2021,5,May,2021-05,2021-05-03 07:00:00,2021-05-31 07:00:00,47153.04061252498,61119.730062901304,29.619912669356975,-8.386808363131138,33.32577490644486,10,60.0
top10,2021,6,June,2021-06,2021-06-01 08:00:00,2021-06-28 08:00:00,61119.730062901304,52665.27949964179,-13.832604552668393,-13.832604552668403,73.19526326132093,1,0.0
top10,2021,7,July,2021-07,2021-07-02 08:00:00,2021-07-31 07:00:00,52665.27949964179,52278.857649073565,-0.7337316999729393,-8.450315729499314,28.078371118987256,9,66.66666666666666
top10,2021,8,August,2021-08,2021-08-02 06:45:00,2021-08-31 08:00:00,53141.516592667205,61867.774763491834,16.420792499604218,-5.229493069239421,25.910852356951334,7,71.42857142857143
top10,2021,9,September,2021-09,2021-09-01 05:45:00,2021-09-28 07:00:00,62856.337824294016,81342.07450951477,29.409503202198973,-3.7998475899697737,31.41311095777316,6,66.66666666666666
top10,2021,10,October,2021-10,2021-10-02 08:00:00,2021-10-31 07:00:00,81342.07450951477,91595.61309920331,12.605454989335385,-4.459510607330353,23.728369744465443,7,57.14285714285714
top10,2021,11,November,2021-11,2021-11-02 01:00:00,2021-11-27 07:00:00,94279.6384305961,112276.59609459304,19.088912477369547,-2.1735900693761745,20.976866422144617,7,71.42857142857143
top10,2021,12,December,2021-12,2021-12-01 07:00:00,2021-12-31 22:15:00,112276.59609459304,128820.9427338224,14.735347538761111,-3.173429803016392,25.487380861804233,4,50.0
top10,2022,1,January,2022-01,2022-01-01 00:30:00,2022-01-30 07:00:00,122753.39766256168,128073.80271533446,4.334222232608265,-3.456841112439002,31.86421023413315,2,50.0
top10,2022,2,February,2022-02,2022-02-03 03:30:00,2022-02-27 07:00:00,128073.80271533446,135921.17666135507,6.127228035434151,-0.20984689469929485,13.170073703682226,5,40.0
top10,2022,3,March,2022-03,2022-03-03 07:45:00,2022-03-31 08:00:00,135921.17666135507,152100.8162752088,11.903693016258243,-3.062214435043098,34.15257566761626,3,0.0
top10,2022,4,April,2022-04,2022-04-02 00:30:00,2022-04-28 07:00:00,154745.59553996986,151085.70521181644,-2.365101452731222,-2.806031547762544,12.654226297891821,4,25.0
top10,2022,5,May,2022-05,2022-05-02 07:00:00,2022-05-30 07:00:00,151085.70521181644,160025.5190345986,5.917048082245024,-12.57476512779646,63.60289841111829,6,50.0
top10,2022,6,June,2022-06,2022-06-03 03:30:00,2022-06-30 15:00:00,160025.5190345986,163537.0158708434,2.194335539374559,-4.870072933929603,29.657566626237863,6,33.33333333333333
top10,2022,7,July,2022-07,2022-07-01 09:00:00,2022-07-29 08:45:00,163537.0158708434,171462.47399730977,4.846277819283218,-0.13686371577655843,7.385704994657891,3,0.0
top10,2022,8,August,2022-08,2022-08-02 17:30:00,2022-08-30 08:00:00,171462.47399730977,175002.74187090603,2.0647479247568823,-6.402468385565263,36.249440176948134,4,50.0
top10,2022,9,September,2022-09,2022-09-03 08:00:00,2022-09-28 14:30:00,175002.74187090603,182462.3984712543,4.26259412886858,-0.40258066748407595,10.486532557164633,3,33.33333333333333
top10,2022,10,October,2022-10,2022-10-01 07:00:00,2022-10-31 10:00:00,182462.3984712543,191487.76365953102,4.946424723063481,-1.5631160194307325,16.249246526791218,3,33.33333333333333
top10,2022,11,November,2022-11,2022-11-01 00:45:00,2022-11-30 07:00:00,194528.46932591783,209642.28985158532,7.769464581734509,-5.376765258336635,39.2913872450827,5,60.0
top10,2022,12,December,2022-12,2022-12-01 02:30:00,2022-12-28 07:00:00,209642.28985158532,216200.55486449442,3.128312048848536,-0.8983355464010856,9.11357050851703,5,20.0
top10,2023,1,January,2023-01,2023-01-01 07:00:00,2023-01-31 01:45:00,216200.55486449442,241367.8450175159,11.640714876423552,-1.345182076223761,19.430964127726142,4,50.0
top10,2023,2,February,2023-02,2023-02-01 19:45:00,2023-02-27 23:45:00,243578.13477245197,258574.06314001078,6.156516627228403,-1.3251404961222568,14.430652057083032,2,50.0
top10,2023,3,March,2023-03,2023-03-02 02:00:00,2023-03-31 02:30:00,258574.06314001078,268265.80474416085,3.748149171056747,-0.5430223978919679,9.76645227054826,5,0.0
top10,2023,4,April,2023-04,2023-04-02 18:00:00,2023-04-30 10:15:00,272552.0231116837,273058.93893102277,0.18598864670005266,-2.8108571662770143,14.038305864353998,4,0.0
