normalized_period,symbol,original_period,out_sample_range,net_profit,winning_trades,total_trades,win_rate,max_drawdown,recovery_factor,selected_based_on_period,rank_in_prev_period,profit_rank_prev_period,wins_rank_prev_period,recovery_rank_prev_period,final_rank_prev_period
78,DASHUSDT,4,2020-02-28 08:00:00 to 2020-03-01 08:00:00,-0.8678824742347935,0,1,0.0,-0.8678824742347935,1.0,77,9,6,1,13,4.9
80,LTCUSDT,14,2020-03-03 08:00:00 to 2020-03-05 08:00:00,0.0,0,0,0.0,0.0,0.0,79,9,3,3,8,4.0
87,QTUMUSDT,5,2020-03-18 08:00:00 to 2020-03-20 08:00:00,0.0,0,0,0.0,0.0,0.0,86,9,9,3,3,4.799999999999999
93,ONTUSDT,12,2020-03-30 08:00:00 to 2020-04-01 08:00:00,0.0,0,0,0.0,0.0,0.0,92,9,9,5,4,5.999999999999999
96,BNBUSDT,14,2020-04-04 08:00:00 to 2020-04-06 08:00:00,0.0,0,0,0.0,0.0,0.0,95,9,2,2,7,3.0
98,LTCUSDT,26,2020-04-08 08:00:00 to 2020-04-10 08:00:00,0.0,0,0,0.0,0.0,0.0,97,9,5,5,15,7.0
99,QTUMUSDT,13,2020-04-11 08:00:00 to 2020-04-13 08:00:00,-1.9190427930507514,0,1,0.0,-1.9190427930507514,1.0,98,9,9,4,1,4.8999999999999995
104,NEOUSDT,17,2020-04-20 08:45:00 to 2020-04-22 08:45:00,1.0907387875157992,1,1,100.0,0.0,999.0,103,9,4,4,6,4.4
105,BCHUSDT,38,2020-04-23 08:45:00 to 2020-04-25 08:45:00,0.0,0,0,0.0,0.0,0.0,104,9,9,5,5,6.199999999999999
111,NEOUSDT,22,2020-05-05 08:45:00 to 2020-05-07 08:45:00,0.0,0,0,0.0,0.0,0.0,110,9,9,1,1,3.4
117,BCHUSDT,46,2020-05-17 08:45:00 to 2020-05-19 08:45:00,0.0,0,0,0.0,0.0,0.0,116,9,9,1,1,3.4
120,DASHUSDT,32,2020-05-22 08:00:00 to 2020-05-24 08:00:00,0.0,0,0,0.0,0.0,0.0,119,9,13,7,5,8.4
123,VETUSDT,31,2020-05-29 08:00:00 to 2020-05-31 08:00:00,0.0,0,0,0.0,0.0,0.0,122,9,9,1,1,3.4
129,ONTUSDT,36,2020-06-10 08:00:00 to 2020-06-12 08:00:00,0.0,0,0,0.0,0.0,0.0,128,9,9,1,1,3.4
135,LTCUSDT,51,2020-06-22 08:00:00 to 2020-06-24 08:00:00,0.0,0,0,0.0,0.0,0.0,134,9,9,1,1,3.4
138,ATOMUSDT,43,2020-06-27 12:00:00 to 2020-06-29 12:00:00,-5.007768228873665,0,1,0.0,-5.007768228873665,1.0,137,9,2,3,13,4.7
141,ALGOUSDT,2,2020-07-04 09:00:00 to 2020-07-06 09:00:00,0.0,0,0,0.0,0.0,0.0,140,9,9,1,1,3.4
144,BNBUSDT,46,2020-07-09 08:00:00 to 2020-07-11 08:00:00,-1.1824689679524214,0,1,0.0,-1.1824689679524214,1.0,143,9,3,3,8,4.0
145,XLMUSDT,54,2020-07-12 08:00:00 to 2020-07-14 08:00:00,-1.502400809724147,0,1,0.0,-1.502400809724147,1.0,144,9,9,4,1,4.8999999999999995
147,NEOUSDT,46,2020-07-16 08:45:00 to 2020-07-18 08:45:00,-1.2662290750311778,0,1,0.0,-1.2662290750311778,1.0,146,9,9,3,2,4.6
