normalized_period,symbol,original_period,out_sample_range,metric_value,selected_based_on_period
214,LTCUSDT,143,2021-03-25 08:00:00 to 2021-03-27 08:00:00,1.99993777462274,213
215,SFPUSDT,7,2021-03-29 07:00:00 to 2021-03-31 07:00:00,1.9651813299482457,214
218,SXPUSDT,81,2021-04-02 09:00:00 to 2021-04-04 09:00:00,1.4624188778288771,217
219,AVAXUSDT,61,2021-04-06 07:00:00 to 2021-04-08 07:00:00,3.3734497224805455,218
221,MKRUSDT,76,2021-04-10 07:00:00 to 2021-04-12 07:00:00,1.4256886185304394,220
222,DENTUSDT,2,2021-04-11 04:00:00 to 2021-04-13 04:00:00,4.429058240116719,221
223,ADAUSDT,142,2021-04-13 08:00:00 to 2021-04-15 08:00:00,2.125384671943848,222
225,SXPUSDT,86,2021-04-17 09:00:00 to 2021-04-19 09:00:00,-9.97968180062153,224
226,LTCUSDT,151,2021-04-18 08:00:00 to 2021-04-20 08:00:00,-6.442251432880402,225
227,SFPUSDT,15,2021-04-22 07:00:00 to 2021-04-24 07:00:00,5.794453240477396,226
228,XMRUSDT,144,2021-04-22 08:00:00 to 2021-04-24 08:00:00,-0.0257201438477022,227
229,ADAUSDT,146,2021-04-25 08:00:00 to 2021-04-27 08:00:00,0.0,228
231,XLMUSDT,151,2021-04-29 08:00:00 to 2021-05-01 08:00:00,0.0,230
233,LTCUSDT,156,2021-05-03 08:00:00 to 2021-05-05 08:00:00,1.4411750838109765,232
235,XMRUSDT,149,2021-05-07 08:00:00 to 2021-05-09 08:00:00,2.172651175330484,234
237,BNBUSDT,148,2021-05-11 08:00:00 to 2021-05-13 08:00:00,2.710373161885854,236
239,DOGEUSDT,99,2021-05-15 09:00:00 to 2021-05-17 09:00:00,2.716176037768637,238
241,ADAUSDT,154,2021-05-19 08:00:00 to 2021-05-21 08:00:00,-10.181334607448337,240
242,COMPUSDT,104,2021-05-20 09:00:00 to 2021-05-22 09:00:00,-4.040537023359629,241
243,ATOMUSDT,153,2021-05-23 12:00:00 to 2021-05-25 12:00:00,-6.289457887274256,242
244,DOGEUSDT,102,2021-05-24 09:00:00 to 2021-05-26 09:00:00,1.373279254610261,243
245,ALGOUSDT,111,2021-05-27 09:00:00 to 2021-05-29 09:00:00,0.0,244
246,DENTUSDT,18,2021-05-29 04:00:00 to 2021-05-31 04:00:00,0.0,245
