normalized_period,symbol,original_period,out_sample_range,metric_value,selected_based_on_period
100,LTCUSDT,67,2020-08-09 08:00:00 to 2020-08-11 08:00:00,0.8518606113536952,99
102,ADAUSDT,61,2020-08-13 08:00:00 to 2020-08-15 08:00:00,0.0,101
114,ADAUSDT,69,2020-09-06 08:00:00 to 2020-09-08 08:00:00,0.6514866976112352,113
120,ADAUSDT,73,2020-09-18 08:00:00 to 2020-09-20 08:00:00,1.3585573770491646,119
122,COMPUSDT,24,2020-09-22 09:00:00 to 2020-09-24 09:00:00,1.6297481250000054,121
126,ADAUSDT,77,2020-09-30 08:00:00 to 2020-10-02 08:00:00,0.0,125
134,XLMUSDT,86,2020-10-16 08:00:00 to 2020-10-18 08:00:00,0.0,133
136,YFIUSDT,13,2020-10-21 07:00:00 to 2020-10-23 07:00:00,2.222667087156842,135
142,YFIUSDT,17,2020-11-02 07:00:00 to 2020-11-04 07:00:00,0.39298282447784,141
146,BNBUSDT,87,2020-11-09 08:00:00 to 2020-11-11 08:00:00,0.0,145
188,COMPUSDT,68,2021-02-01 09:00:00 to 2021-02-03 09:00:00,3.4698827735673508,187
190,LTCUSDT,127,2021-02-05 08:00:00 to 2021-02-07 08:00:00,1.296101424455228,189
198,ADAUSDT,125,2021-02-21 08:00:00 to 2021-02-23 08:00:00,6.50290957616462,197
202,YFIUSDT,57,2021-03-02 07:00:00 to 2021-03-04 07:00:00,0.0,201
206,SXPUSDT,73,2021-03-09 09:00:00 to 2021-03-11 09:00:00,4.531332431607352,205
208,ALGOUSDT,86,2021-03-13 09:00:00 to 2021-03-15 09:00:00,3.407561778276977,207
210,XMRUSDT,132,2021-03-17 08:00:00 to 2021-03-19 08:00:00,0.5616943231441109,209
218,ATOMUSDT,136,2021-04-02 12:00:00 to 2021-04-04 12:00:00,0.2188972433291201,217
224,AVAXUSDT,64,2021-04-15 07:00:00 to 2021-04-17 07:00:00,1.7680903498983935,223
228,SNXUSDT,80,2021-04-23 07:00:00 to 2021-04-25 07:00:00,0.5215838957312735,227
232,ALGOUSDT,102,2021-04-30 09:00:00 to 2021-05-02 09:00:00,0.0,231
240,SNXUSDT,88,2021-05-17 07:00:00 to 2021-05-19 07:00:00,3.5978311251445847,239
250,LTCUSDT,167,2021-06-05 08:00:00 to 2021-06-07 08:00:00,0.0,249
258,XMRUSDT,164,2021-06-21 08:00:00 to 2021-06-23 08:00:00,-10.9324779349424,257
262,ALGOUSDT,122,2021-06-29 09:00:00 to 2021-07-01 09:00:00,0.0,261
268,SFPUSDT,42,2021-07-12 07:00:00 to 2021-07-14 07:00:00,-5.343703511668519,267
272,CHZUSDT,56,2021-07-20 07:00:00 to 2021-07-22 07:00:00,-4.491431237697015,271
280,LTCUSDT,187,2021-08-04 08:00:00 to 2021-08-06 08:00:00,1.1405704918032824,279
284,AVAXUSDT,104,2021-08-13 07:00:00 to 2021-08-15 07:00:00,0.0,283
290,COMPUSDT,136,2021-08-24 09:00:00 to 2021-08-26 09:00:00,-2.333781018314512,289
292,LTCUSDT,195,2021-08-28 08:00:00 to 2021-08-30 08:00:00,0.034109431995821,291
304,MKRUSDT,131,2021-09-22 07:00:00 to 2021-09-24 07:00:00,0.3476514102347574,303
306,XMRUSDT,196,2021-09-25 08:00:00 to 2021-09-27 08:00:00,1.2175225080385823,305
310,SFPUSDT,70,2021-10-04 07:00:00 to 2021-10-06 07:00:00,0.0,309
314,COMPUSDT,152,2021-10-11 09:00:00 to 2021-10-13 09:00:00,2.437239604786173,313
320,XLMUSDT,210,2021-10-23 08:00:00 to 2021-10-25 08:00:00,0.8624530756565583,319
322,YFIUSDT,137,2021-10-28 07:00:00 to 2021-10-30 07:00:00,0.2836655202564907,321
326,CHZUSDT,92,2021-11-05 07:00:00 to 2021-11-07 07:00:00,0.0,325
334,LTCUSDT,223,2021-11-20 08:00:00 to 2021-11-22 08:00:00,0.0,333
336,CTSIUSDT,6,2021-11-25 03:30:00 to 2021-11-27 03:30:00,-3.6683924968644535,335
346,ALGOUSDT,178,2021-12-14 09:00:00 to 2021-12-16 09:00:00,0.0,345
356,SXPUSDT,173,2022-01-03 09:00:00 to 2022-01-05 09:00:00,-3.3311520645563903,355
358,LTCUSDT,239,2022-01-07 08:00:00 to 2022-01-09 08:00:00,0.0,357
362,GRTUSDT,127,2022-01-16 07:00:00 to 2022-01-18 07:00:00,0.426299818989628,361
364,SFPUSDT,106,2022-01-20 07:00:00 to 2022-01-22 07:00:00,-19.20661414921382,363
368,AVAXUSDT,160,2022-01-28 07:00:00 to 2022-01-30 07:00:00,0.0,367
372,CTSIUSDT,30,2022-02-05 03:30:00 to 2022-02-07 03:30:00,0.0,371
376,BAKEUSDT,86,2022-02-13 07:00:00 to 2022-02-15 07:00:00,-0.5524386833532117,375
386,CHZUSDT,132,2022-03-05 07:00:00 to 2022-03-07 07:00:00,-1.2102860900058476,385
398,COMPUSDT,208,2022-03-28 09:00:00 to 2022-03-30 09:00:00,9.192529017125707,397
401,BAKEUSDT,103,2022-04-05 07:00:00 to 2022-04-07 07:00:00,-0.131032850955944,400
402,XMRUSDT,260,2022-04-05 08:00:00 to 2022-04-07 08:00:00,2.398809363649016,401
407,PEOPLEUSDT,34,2022-04-17 04:00:00 to 2022-04-19 04:00:00,-0.7992841856798987,406
408,CTSIUSDT,54,2022-04-18 03:30:00 to 2022-04-20 03:30:00,-1.0242017749620755,407
413,MKRUSDT,204,2022-04-29 07:00:00 to 2022-05-01 07:00:00,2.912715236161876,412
416,SXPUSDT,213,2022-05-03 09:00:00 to 2022-05-05 09:00:00,0.0,415
418,SFPUSDT,142,2022-05-08 07:00:00 to 2022-05-10 07:00:00,-0.9573254472287952,417
419,GMTUSDT,15,2022-05-11 04:00:00 to 2022-05-13 04:00:00,-21.334575117172843,418
424,LTCUSDT,283,2022-05-19 08:00:00 to 2022-05-21 08:00:00,0.0,423
425,YFIUSDT,206,2022-05-23 07:00:00 to 2022-05-25 07:00:00,4.316771009383356,424
431,BAKEUSDT,123,2022-06-04 07:00:00 to 2022-06-06 07:00:00,0.0,430
436,SFPUSDT,154,2022-06-13 07:00:00 to 2022-06-15 07:00:00,5.892832445137337,435
437,YFIUSDT,214,2022-06-16 07:00:00 to 2022-06-18 07:00:00,1.6248442598925432,436
440,ATOMUSDT,284,2022-06-20 12:00:00 to 2022-06-22 12:00:00,0.0,439
442,MKRUSDT,223,2022-06-25 07:00:00 to 2022-06-27 07:00:00,0.0,441
443,PEOPLEUSDT,58,2022-06-28 04:00:00 to 2022-06-30 04:00:00,0.62932932934571,442
444,XMRUSDT,288,2022-06-28 08:00:00 to 2022-06-30 08:00:00,0.7476324081020357,443
449,ALGOUSDT,247,2022-07-09 09:00:00 to 2022-07-11 09:00:00,-0.0248875169774146,448
450,DENTUSDT,154,2022-07-11 04:00:00 to 2022-07-13 04:00:00,-3.424796566253608,449
454,BAKEUSDT,138,2022-07-19 07:00:00 to 2022-07-21 07:00:00,-5.115929458075607,453
455,BAKEUSDT,139,2022-07-22 07:00:00 to 2022-07-24 07:00:00,0.3576459130434887,454
458,SXPUSDT,241,2022-07-26 09:00:00 to 2022-07-28 09:00:00,2.0851816507902186,457
460,DOGEUSDT,246,2022-07-30 09:00:00 to 2022-08-01 09:00:00,2.169013244341695,459
461,MKRUSDT,236,2022-08-03 07:00:00 to 2022-08-05 07:00:00,2.4890615223467467,460
464,AVAXUSDT,224,2022-08-08 07:00:00 to 2022-08-10 07:00:00,1.1457931034482682,463
466,PEOPLEUSDT,73,2022-08-12 04:00:00 to 2022-08-14 04:00:00,4.719812627146093,465
467,SFPUSDT,175,2022-08-15 07:00:00 to 2022-08-17 07:00:00,0.2878531317494344,466
472,GMTUSDT,50,2022-08-24 04:00:00 to 2022-08-26 04:00:00,0.0,471
473,PEOPLEUSDT,78,2022-08-27 04:00:00 to 2022-08-29 04:00:00,0.7482177877428694,472
477,DUSKUSDT,76,2022-09-04 03:30:00 to 2022-09-06 03:30:00,0.0,476
478,MKRUSDT,247,2022-09-05 07:00:00 to 2022-09-07 07:00:00,4.777468022478242,477
479,DYDXUSDT,117,2022-09-08 03:30:00 to 2022-09-10 03:30:00,0.0,478
483,GRTUSDT,208,2022-09-16 07:00:00 to 2022-09-18 07:00:00,0.0,482
485,MKRUSDT,252,2022-09-20 07:00:00 to 2022-09-22 07:00:00,2.6015732606244453,484
489,GRTUSDT,212,2022-09-28 07:00:00 to 2022-09-30 07:00:00,1.6827824126381348,488
491,GMTUSDT,63,2022-10-02 04:00:00 to 2022-10-04 04:00:00,0.8710489133463852,490
495,GRTUSDT,216,2022-10-10 07:00:00 to 2022-10-12 07:00:00,-3.737205970495997,494
496,YFIUSDT,253,2022-10-11 07:00:00 to 2022-10-13 07:00:00,1.3021957202505292,495
497,PEOPLEUSDT,94,2022-10-14 04:00:00 to 2022-10-16 04:00:00,0.0,496
500,COMPUSDT,276,2022-10-18 09:00:00 to 2022-10-20 09:00:00,-1.2471259084003758,499
501,INJUSDT,18,2022-10-22 02:45:00 to 2022-10-24 02:45:00,0.0,500
503,MKRUSDT,264,2022-10-26 07:00:00 to 2022-10-28 07:00:00,0.1261580367725036,502
506,SXPUSDT,273,2022-10-30 09:00:00 to 2022-11-01 09:00:00,1.5987219865864426,505
507,AVAXUSDT,253,2022-11-03 07:00:00 to 2022-11-05 07:00:00,1.0333166629289008,506
509,PEOPLEUSDT,102,2022-11-07 04:00:00 to 2022-11-09 04:00:00,-12.5597180912819,508
510,ZENUSDT,234,2022-11-08 07:00:00 to 2022-11-10 07:00:00,-14.99532203487628,509
513,DUSKUSDT,100,2022-11-15 03:30:00 to 2022-11-17 03:30:00,0.0,512
514,LTCUSDT,343,2022-11-15 08:00:00 to 2022-11-17 08:00:00,0.0,513
515,DYDXUSDT,141,2022-11-19 03:30:00 to 2022-11-21 03:30:00,-9.281253490164437,514
519,GRTUSDT,232,2022-11-27 07:00:00 to 2022-11-29 07:00:00,0.4996499340567061,518
521,DOGEUSDT,287,2022-11-30 09:00:00 to 2022-12-02 09:00:00,0.5463946160905471,520
522,CTSIUSDT,130,2022-12-02 03:30:00 to 2022-12-04 03:30:00,1.733127516139357,521
525,ATOMUSDT,341,2022-12-08 12:00:00 to 2022-12-10 12:00:00,0.0,524
527,PEOPLEUSDT,114,2022-12-13 04:00:00 to 2022-12-15 04:00:00,0.0,526
531,CHZUSDT,229,2022-12-21 07:00:00 to 2022-12-23 07:00:00,0.0,530
533,PEOPLEUSDT,118,2022-12-25 04:00:00 to 2022-12-27 04:00:00,0.0,532
537,COMPUSDT,301,2023-01-01 09:00:00 to 2023-01-03 09:00:00,0.0,536
