Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,High Equity,Low Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top2,2019,12,December,2019-12,2019-12-17 07:45:00,2019-12-24 17:45:00,10000.0,10152.563461234478,10152.563461234478,10000.0,1.525634612344784,0.0,7.652476597129089,1,100.0
top2,2020,1,January,2020-01,2020-01-05 17:45:00,2020-01-31 19:00:00,10152.563461234478,10232.154480336947,10232.154480336947,10152.563461234478,0.7839499788045767,0.0,6.222410052693801,1,0.0
top2,2020,2,February,2020-02,2020-02-02 08:00:00,2020-02-26 08:00:00,10232.154480336949,10738.58708756239,10957.024829879389,10232.154480336949,4.949422999805653,-3.608911754183919,24.77837849281465,4,75.0
top2,2020,3,March,2020-03,2020-03-01 07:45:00,2020-03-30 08:00:00,10738.58708756239,9554.409498275836,11081.469178840276,8941.238916961662,-11.027312807828205,-19.31359666609296,69.77914974841826,5,40.0
top2,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 08:00:00,9554.409498275836,10353.340467843815,10353.340467843815,9554.409498275836,8.361908391221373,0.0,13.43639138016856,4,50.0
top2,2020,5,May,2020-05,2020-05-04 08:45:00,2020-05-29 08:00:00,10353.340467843815,10999.552887318996,10999.552887318996,10353.340467843815,6.241583781410798,0.0,15.921482287311651,3,33.33333333333333
top2,2020,6,June,2020-06,2020-06-01 02:00:00,2020-06-29 08:00:00,11025.423665195141,10780.902827966573,11441.101420361141,10780.902827966573,-2.2177908500737975,-5.770411153069988,23.25457617346213,4,25.0
top2,2020,7,July,2020-07,2020-07-03 08:45:00,2020-07-31 08:00:00,10780.902827966573,10973.666924181978,10973.666924181978,10679.599545424982,1.7880144111433793,-0.9396549079247918,10.320818123717428,3,33.33333333333333
top2,2020,8,August,2020-08,2020-08-02 21:30:00,2020-08-31 08:15:00,11206.637439962364,14604.842554198276,14604.842554198276,11206.637439962364,30.323146728367114,-9.52646073826362,54.240313019508456,7,71.42857142857143
top2,2020,9,September,2020-09,2020-09-01 01:30:00,2020-09-30 09:00:00,14814.688313362089,16167.776480693343,16483.93818287853,14814.688313362089,9.133423118398243,-1.9179985915840025,15.766788436572417,7,42.857142857142854
top2,2020,10,October,2020-10,2020-10-01 01:15:00,2020-10-31 08:00:00,16167.776480693343,15088.806947813371,16167.776480693343,14602.012243346708,-6.673580217838959,-9.684474789816544,42.80785512020675,4,0.0
top2,2020,11,November,2020-11,2020-11-01 07:00:00,2020-11-30 14:15:00,15107.20648049337,18180.425533756697,18180.425533756697,15065.556734319392,20.342735483436392,-0.957445770259957,19.998675457108998,8,50.0
top2,2020,12,December,2020-12,2020-12-01 15:15:00,2020-12-31 21:00:00,18684.16266458875,22439.229725803896,22759.19177306975,18684.16266458875,20.097593500039213,-1.4058585667547918,17.369117700103807,5,80.0
top2,2021,1,January,2021-01,2021-01-01 12:30:00,2021-01-31 07:00:00,22609.598474042363,27134.24416214473,30268.80913536195,22078.26078653356,20.012056796572587,-11.553308447083332,41.72234663327354,8,62.5
top2,2021,2,February,2021-02,2021-02-01 08:00:00,2021-02-28 07:00:00,28664.07423941853,35844.74519985656,36793.18014360521,28154.68357005034,25.051117648039202,-5.814418747972772,38.009200932018125,10,70.0
top2,2021,3,March,2021-03,2021-03-02 18:45:00,2021-03-29 06:00:00,37300.58145148462,48353.24086088164,48353.24086088164,37300.58145148462,29.631332754886873,-6.224408805017756,48.649544270759094,7,57.14285714285714
top2,2021,4,April,2021-04,2021-04-01 07:00:00,2021-04-30 07:00:00,48353.24086088164,48381.584594347696,48381.584594347696,44298.48121392133,0.058618063570148315,-8.38570398750802,41.48773305883166,5,40.0
top2,2021,5,May,2021-05,2021-05-01 20:45:00,2021-05-31 07:00:00,48765.51214757719,62344.186266028104,62344.186266028104,48335.33770946794,27.844830332876015,-7.52870407361792,39.87489488460729,7,57.14285714285714
top2,2021,6,June,2021-06,2021-06-01 08:00:00,2021-06-30 05:30:00,62344.186266028104,60583.41848422412,68989.8647571557,59899.392624795284,-2.8242694102873167,-13.176532762252647,41.71714395790557,8,50.0
top2,2021,7,July,2021-07,2021-07-02 07:00:00,2021-07-30 07:00:00,60583.418484224116,64206.00067125482,64533.24037966892,60583.418484224116,5.979494517916684,-4.737661223831935,28.615748941276497,4,50.0
top2,2021,8,August,2021-08,2021-08-01 19:45:00,2021-08-31 11:45:00,64618.47858029614,65900.91671572391,65923.74400993246,61608.40736604718,1.9846306561275506,-6.545952006662592,20.98617453266979,5,60.0
top2,2021,9,September,2021-09,2021-09-03 04:15:00,2021-09-29 09:00:00,64812.31146427608,76319.98615751525,76319.98615751525,63139.46648985484,17.75538386650828,-4.456521153907145,38.10872785475635,6,50.0
top2,2021,10,October,2021-10,2021-10-02 08:00:00,2021-10-31 21:45:00,76319.98615751525,92899.8566308833,98032.71262882503,76319.98615751525,21.724152883294813,-7.363294486154293,40.56817468424207,6,66.66666666666666
top2,2021,11,November,2021-11,2021-11-02 05:45:00,2021-11-27 07:00:00,93788.05523109942,93903.26429918017,97139.74447678374,89587.30186986791,0.12283980918130766,-4.478985464492902,26.361845746001606,6,33.33333333333333
top2,2021,12,December,2021-12,2021-12-01 03:30:00,2021-12-31 04:00:00,93903.26429918017,102825.96006070926,102825.96006070926,93814.98138706679,9.502008080465618,-2.2215552793932725,23.70550805062527,7,28.57142857142857
top2,2022,1,January,2022-01,2022-01-02 04:00:00,2022-01-30 08:00:00,102825.96006070924,106568.07128106951,106684.02224743809,102825.96006070924,3.639266988755452,-1.1708650380456875,9.009349195607438,8,50.0
