Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,High Equity,Low Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top1,2019,10,October,2019-10,2019-10-01 17:45:00,2019-10-28 17:45:00,10000.0,10027.158360045849,10027.158360045849,10000.0,0.2715836004584915,0.0,1.760062892511486,2,0.0
top1,2019,11,November,2019-11,2019-11-06 17:45:00,2019-11-30 17:45:00,10027.158360045849,10232.6961310227,10232.6961310227,10027.158360045849,2.0498107599041804,0.0,14.55221279501902,1,0.0
top1,2019,12,December,2019-12,2019-12-03 17:45:00,2019-12-29 07:45:00,10232.6961310227,10230.150013103002,10232.6961310227,10230.150013103002,-0.024882180483964955,-0.024882180483964955,0.1612549597275615,2,0.0
top1,2020,1,January,2020-01,2020-01-01 07:45:00,2020-01-31 14:15:00,10230.150013103002,12392.307060424244,12392.307060424244,10230.150013103002,21.13514508146901,-0.5991456498007586,17.84591358258308,6,83.33333333333334
top1,2020,2,February,2020-02,2020-02-01 17:45:00,2020-02-28 21:15:00,12392.307060424244,13068.667118359996,13101.839639454993,11965.094568468612,5.45790267008277,-8.142350356836992,43.63608551482285,6,50.0
top1,2020,3,March,2020-03,2020-03-01 02:00:00,2020-03-29 08:00:00,13293.961786597542,13305.784453595887,13848.694861602751,10862.269917933008,0.08893260856417395,-21.56466709328676,77.29871507934763,6,33.33333333333333
top1,2020,4,April,2020-04,2020-04-02 08:00:00,2020-04-30 07:45:00,13305.784453595887,14339.459722414753,14339.459722414753,13305.784453595887,7.768615765750786,0.0,22.39840013784457,2,0.0
top1,2020,5,May,2020-05,2020-05-04 08:00:00,2020-05-28 08:00:00,14339.459722414753,14931.496467963285,14931.496467963285,14339.459722414753,4.128724212831325,-1.014286864952274,11.185973420170058,3,33.33333333333333
top1,2020,6,June,2020-06,2020-06-01 08:00:00,2020-06-30 08:00:00,14931.496467963285,15532.967793624373,15532.967793624373,14931.496467963285,4.028205256931838,-0.8820292301445987,9.38579082533972,3,66.66666666666666
top1,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-31 08:00:00,15532.967793624373,16320.571881949169,16320.571881949169,15315.881519428565,5.070531908577536,-2.8537465403141504,19.77292633854952,5,40.0
top1,2020,8,August,2020-08,2020-08-01 02:15:00,2020-08-31 12:00:00,16473.104533294983,18815.456573250227,18815.456573250227,16473.104533294983,14.21925075034245,-4.135719377699676,17.954370722953716,7,71.42857142857143
top1,2020,9,September,2020-09,2020-09-01 07:00:00,2020-09-29 07:00:00,18716.017046572615,19357.26467928805,19841.454167065385,18369.338708645653,3.426197096955863,-6.732564795654461,27.473428664685745,8,50.0
top1,2020,10,October,2020-10,2020-10-03 09:00:00,2020-10-31 08:00:00,19357.26467928805,21773.235645506702,22590.7687507059,19357.26467928805,12.480952274231694,-6.178084209087331,31.463992901308167,5,60.0
top1,2020,11,November,2020-11,2020-11-01 07:00:00,2020-11-30 11:45:00,21773.235645506702,20677.59836365822,23979.84100261317,20368.915822331033,-5.032037037061077,-15.058169818092804,52.05351224576656,7,57.14285714285714
top1,2020,12,December,2020-12,2020-12-01 14:45:00,2020-12-30 08:00:00,21369.31378757997,21556.460704985617,22560.119908646826,21009.516804689043,0.8757741089207016,-6.873204177268,20.013621417361037,5,60.0
top1,2021,1,January,2021-01,2021-01-03 08:00:00,2021-01-31 07:00:00,21556.460704985617,25098.001351173138,25098.001351173138,21556.460704985617,16.42913785642197,-1.7786217901543333,21.142926292156293,3,100.0
top1,2021,2,February,2021-02,2021-02-01 01:15:00,2021-02-28 08:00:00,25716.768128832082,37234.000877052895,38424.51223379562,25716.768128832082,44.784915003796264,-8.14052205806124,63.90694732713522,7,71.42857142857143
top1,2021,3,March,2021-03,2021-03-01 08:00:00,2021-03-30 18:00:00,37193.236160738146,40673.51342194598,40962.209529766464,36237.29419221189,9.357285411162142,-3.5567231231559027,28.38847307979057,4,75.0
top1,2021,4,April,2021-04,2021-04-01 00:15:00,2021-04-29 07:00:00,41556.090711201716,49631.88200893411,50520.53431973999,41556.09071120171,19.43347210847124,-6.231552311503674,36.36761937568712,9,66.66666666666666
top1,2021,5,May,2021-05,2021-05-03 08:00:00,2021-05-31 07:00:00,49631.88200893411,65093.819311607615,65093.819311607615,49631.88200893411,31.153235937920385,-4.792629607252841,42.08600831480627,6,83.33333333333334
top1,2021,6,June,2021-06,2021-06-04 03:00:00,2021-06-30 06:15:00,65093.819311607615,56071.192717536695,68260.01939998486,53441.28986987431,-13.860957444944377,-21.709237208499587,53.44970899731029,6,50.0
