Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,High Equity,Low Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%)
top8,2020,3,March,2020-03,2020-03-05 08:00:00,2020-03-30 05:15:00,10000.0,9440.2350640438,10000.0,9283.112267733575,-5.597649359561996,-7.168877322664247,55.13940340420734,2,0.0
top8,2020,4,April,2020-04,2020-04-03 07:45:00,2020-04-27 08:00:00,9440.2350640438,9448.589404806671,9565.012490745848,9440.2350640438,0.08849716883312375,-1.2171765175614468,10.009085649486984,3,33.33333333333333
top8,2020,5,May,2020-05,2020-05-04 08:00:00,2020-05-28 08:00:00,9448.589404806671,9930.726080603403,9930.726080603403,9448.589404806671,5.1027370874160205,0.0,13.517325497241439,3,33.33333333333333
top8,2020,6,June,2020-06,2020-06-02 08:00:00,2020-06-28 16:15:00,9930.726080603403,10513.440995859824,10513.440995859824,9930.726080603403,5.867797686964438,-1.489407516375163,18.041887914313193,3,66.66666666666666
top8,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-31 08:00:00,10513.440995859824,10451.596654806925,10592.748644065096,10281.360567606222,-0.5882407204002349,-2.939634337810315,14.913183022453802,4,0.0
top8,2020,8,August,2020-08,2020-08-02 09:00:00,2020-08-31 03:30:00,10984.986816362623,12012.829213085237,12012.829213085237,10984.986816362623,9.35679226479904,-2.5986666590416485,14.583345248908131,6,83.33333333333334
top8,2020,9,September,2020-09,2020-09-01 08:00:00,2020-09-29 08:00:00,12012.829213085237,12770.58121463116,12770.58121463116,12012.829213085237,6.307856276858792,-0.052776965002754306,15.572879412605339,5,20.0
top8,2020,10,October,2020-10,2020-10-03 08:00:00,2020-10-31 07:00:00,12770.58121463116,12664.562919863303,13042.880684803176,12664.562919863301,-0.8301759566462952,-2.9005690850232857,16.464654913335025,3,0.0
top8,2020,11,November,2020-11,2020-11-04 08:00:00,2020-11-28 08:00:00,12664.562919863303,14111.17594966236,14740.582577631878,12664.562919863303,11.422526296033197,-9.018319905217986,57.563932346077976,5,60.0
top8,2020,12,December,2020-12,2020-12-02 09:00:00,2020-12-31 07:00:00,14111.17594966236,12984.825054754,14621.609044626864,12984.825054754,-7.981977539832963,-11.194280909010823,31.41340516350699,6,33.33333333333333
top8,2021,1,January,2021-01,2021-01-02 02:15:00,2021-01-31 08:00:00,13064.66785761776,15486.283067203838,15486.283067203838,13064.66785761776,18.53560485408039,-4.782413240360617,25.712225694743235,8,75.0
top8,2021,2,February,2021-02,2021-02-01 08:00:00,2021-02-28 08:00:00,15828.60398834128,20039.308241422357,20039.308241422357,15828.60398834128,26.60186745579405,-3.4903498906387553,25.401357118536733,8,87.5
top8,2021,3,March,2021-03,2021-03-01 06:45:00,2021-03-28 08:00:00,20039.308241422357,21898.02313337736,22884.310331763107,19957.96476500663,9.275344585562761,-7.696784504509912,28.03169987867357,12,75.0
top8,2021,4,April,2021-04,2021-04-01 08:00:00,2021-04-29 08:00:00,21898.02313337736,21874.06540257218,21898.02313337736,19758.852958948177,-0.10940590691339569,-9.768782147136468,45.04880574363836,5,20.0
top8,2021,5,May,2021-05,2021-05-03 07:00:00,2021-05-31 07:45:00,21874.06540257218,27096.083119134346,27096.083119134346,21874.06540257218,23.873100955198325,-6.646512364083645,41.86131034930417,8,75.0
top8,2021,6,June,2021-06,2021-06-04 08:45:00,2021-06-28 08:45:00,27096.083119134346,26856.599497020383,28489.04116008349,26627.160834041228,-0.883831146594205,-6.535426431448233,31.193231086100592,4,50.0
top8,2021,7,July,2021-07,2021-07-02 07:00:00,2021-07-31 21:00:00,26856.599497020383,27860.29183758107,27860.29183758107,24377.931525321914,3.737227941579291,-10.056260232489445,45.79273853044234,8,75.0
top8,2021,8,August,2021-08,2021-08-02 06:45:00,2021-08-31 08:00:00,28740.700631907468,31977.71258988973,32341.896689874364,28740.700631907468,11.262815056041408,-3.052116595416954,20.96079574789859,5,40.0
top8,2021,9,September,2021-09,2021-09-01 07:00:00,2021-09-30 12:30:00,32292.05838490971,32942.467673118146,33067.54607711779,32292.058384909706,2.0141462661060316,-0.5510161341114705,6.674461183822874,3,0.0
top8,2021,10,October,2021-10,2021-10-02 07:00:00,2021-10-31 07:00:00,32942.467673118146,32740.469648935952,34984.73966040836,32385.64637929134,-0.6131842525781028,-7.42922001520101,29.09174783053342,4,25.0
top8,2021,11,November,2021-11,2021-11-01 23:45:00,2021-11-27 09:00:00,33154.99695836257,32185.637860962524,33533.10762088377,29457.56543863467,-2.923719458087748,-12.15378612780562,40.53800235876644,6,33.33333333333333
top8,2021,12,December,2021-12,2021-12-01 09:00:00,2021-12-31 22:30:00,32185.637860962524,32904.47096001042,34530.897310706394,29488.683241362793,2.233397088953626,-13.130881865002609,56.658534275879035,7,42.857142857142854
top8,2022,1,January,2022-01,2022-01-01 00:45:00,2022-01-31 08:00:00,35112.102053929695,38727.927105212315,38727.927105212315,35112.102053929695,10.297945266076546,-1.989998314569319,18.842905691855176,4,25.0
top8,2022,2,February,2022-02,2022-02-03 07:00:00,2022-02-27 07:00:00,38727.927105212315,39353.22979265613,41335.51784287118,38727.927105212315,1.6146040704555498,-4.795604733319969,27.882217211983924,5,40.0
top8,2022,3,March,2022-03,2022-03-03 04:00:00,2022-03-31 08:00:00,39353.22979265613,43493.58839815188,43493.58839815188,39353.22979265613,10.521013465249052,0.0,14.517767924133931,4,50.0
top8,2022,4,April,2022-04,2022-04-01 05:15:00,2022-04-28 04:00:00,43654.00162447054,44372.032738737085,46974.58247623367,41892.960931203146,1.6448231262813806,-10.817810988743792,53.52244691762726,5,60.0
top8,2022,5,May,2022-05,2022-05-02 03:30:00,2022-05-30 08:00:00,44372.032738737085,40906.39473902792,47374.49962844009,38974.91022511979,-7.810410715494765,-17.730191282649066,75.16951068310085,5,40.0
top8,2022,6,June,2022-06,2022-06-03 07:00:00,2022-06-27 03:30:00,40906.39473902792,50296.905585215696,50296.905585215696,40906.39473902792,22.956095021565147,-5.028616404594777,35.52409203782176,8,75.0
