normalized_period,symbol,original_period,out_sample_range,metric_value,selected_based_on_period
169,ZILUSDT,20,2020-08-29 09:00:00 to 2020-08-31 09:00:00,0.0,168
170,ONTUSDT,63,2020-08-30 08:00:00 to 2020-09-01 08:00:00,0.0,169
171,DOGEUSDT,14,2020-09-02 09:00:00 to 2020-09-04 09:00:00,-9.438621984918536,170
172,BANDUSDT,8,2020-09-03 07:00:00 to 2020-09-05 07:00:00,3.4951066196205463,171
173,BTCUSDT,117,2020-09-05 17:45:00 to 2020-09-07 17:45:00,1.7962991181946564,172
175,ATOMUSDT,68,2020-09-10 12:00:00 to 2020-09-12 12:00:00,0.0,174
176,KNCUSDT,23,2020-09-11 08:45:00 to 2020-09-13 08:45:00,0.0,175
177,TRXUSDT,77,2020-09-14 08:00:00 to 2020-09-16 08:00:00,-2.014902472822432,176
179,DOTUSDT,5,2020-09-18 07:00:00 to 2020-09-20 07:00:00,-1.4172021259955,178
180,EOSUSDT,81,2020-09-19 08:00:00 to 2020-09-21 08:00:00,0.0,179
181,DASHUSDT,73,2020-09-22 08:00:00 to 2020-09-24 08:00:00,1.1728470223081786,180
183,XRPUSDT,84,2020-09-26 08:15:00 to 2020-09-28 08:15:00,0.0,182
184,MKRUSDT,11,2020-09-27 07:00:00 to 2020-09-29 07:00:00,0.3121357155747865,183
185,BANDUSDT,17,2020-09-30 07:00:00 to 2020-10-02 07:00:00,-6.062365850554033,184
187,LINKUSDT,83,2020-10-04 08:00:00 to 2020-10-06 08:00:00,0.0,186
188,NEOUSDT,73,2020-10-05 08:45:00 to 2020-10-07 08:45:00,1.1641489213312344,187
189,LTCUSDT,87,2020-10-08 08:00:00 to 2020-10-10 08:00:00,0.0,188
191,ETCUSDT,86,2020-10-12 08:00:00 to 2020-10-14 08:00:00,0.0,190
192,CRVUSDT,10,2020-10-13 07:00:00 to 2020-10-15 07:00:00,0.0,191
193,COMPUSDT,32,2020-10-16 09:00:00 to 2020-10-18 09:00:00,1.34116424720336,192
195,TRXUSDT,89,2020-10-20 08:00:00 to 2020-10-22 08:00:00,3.5753157399580413,194
197,IOTAUSDT,81,2020-10-24 08:00:00 to 2020-10-26 08:00:00,0.0,196
199,ATOMUSDT,84,2020-10-28 12:00:00 to 2020-10-30 12:00:00,-7.100711743228476,198
200,NEOUSDT,81,2020-10-29 08:45:00 to 2020-10-31 08:45:00,-5.101573000811531,199
201,KAVAUSDT,28,2020-11-01 07:00:00 to 2020-11-03 07:00:00,-1.7238347834274648,200
202,DOTUSDT,20,2020-11-02 07:00:00 to 2020-11-04 07:00:00,1.8189142028019525,201
203,XMRUSDT,88,2020-11-05 08:00:00 to 2020-11-07 08:00:00,2.4683160361973933,202
204,RSRUSDT,2,2020-11-06 07:00:00 to 2020-11-08 07:00:00,-0.1751350973849548,203
205,BALUSDT,19,2020-11-09 07:00:00 to 2020-11-11 07:00:00,0.0094216478190537,204
206,ALGOUSDT,45,2020-11-10 09:00:00 to 2020-11-12 09:00:00,0.6481665433012677,205
207,EGLDUSDT,16,2020-11-13 07:00:00 to 2020-11-15 07:00:00,0.0,206
209,ADAUSDT,93,2020-11-17 08:00:00 to 2020-11-19 08:00:00,1.5243646911539326,208
210,ZILUSDT,47,2020-11-18 09:00:00 to 2020-11-20 09:00:00,3.2111902960436782,209
211,ZRXUSDT,46,2020-11-21 09:00:00 to 2020-11-23 09:00:00,2.4761963231988373,210
213,ONTUSDT,92,2020-11-25 08:00:00 to 2020-11-27 08:00:00,-11.334694154605932,212
215,MKRUSDT,32,2020-11-29 07:00:00 to 2020-12-01 07:00:00,0.0,214
216,DASHUSDT,96,2020-11-30 08:00:00 to 2020-12-02 08:00:00,1.1914245425278025,215
217,LRCUSDT,11,2020-12-03 07:00:00 to 2020-12-05 07:00:00,4.7406737623167645,216
219,NEOUSDT,94,2020-12-07 08:45:00 to 2020-12-09 08:45:00,1.1565532647361214,218
221,DEFIUSDT,31,2020-12-11 07:00:00 to 2020-12-13 07:00:00,-1.9540220696740107,220
222,ZILUSDT,55,2020-12-12 09:00:00 to 2020-12-14 09:00:00,0.0,221
223,RSRUSDT,15,2020-12-15 07:00:00 to 2020-12-17 07:00:00,0.0,222
225,ENJUSDT,23,2020-12-19 07:00:00 to 2020-12-21 07:00:00,0.6445668843343992,224
227,BTCUSDT,153,2020-12-22 17:45:00 to 2020-12-24 17:45:00,1.062400364810692,226
229,ZILUSDT,60,2020-12-27 09:00:00 to 2020-12-29 09:00:00,11.572807624070428,228
231,BCHUSDT,122,2020-12-31 08:45:00 to 2021-01-02 08:45:00,1.069348417559304,230
232,YFIUSDT,37,2021-01-01 07:00:00 to 2021-01-03 07:00:00,-1.303713534840317,231
233,ADAUSDT,109,2021-01-04 08:00:00 to 2021-01-06 08:00:00,5.509805843640079,232
235,RUNEUSDT,38,2021-01-08 07:00:00 to 2021-01-10 07:00:00,0.9706629046008312,234
237,SOLUSDT,36,2021-01-12 07:00:00 to 2021-01-14 07:00:00,5.021701955392364,236
239,BANDUSDT,53,2021-01-16 07:00:00 to 2021-01-18 07:00:00,4.566715060162169,238
241,LINKUSDT,119,2021-01-20 08:00:00 to 2021-01-22 08:00:00,-2.3815924737592287,240
243,EGLDUSDT,40,2021-01-24 07:00:00 to 2021-01-26 07:00:00,0.0,242
244,ADAUSDT,116,2021-01-25 08:00:00 to 2021-01-27 08:00:00,0.2626761634539434,243
245,ALPHAUSDT,18,2021-01-28 07:00:00 to 2021-01-30 07:00:00,1.24038737976045,244
246,SXPUSDT,60,2021-01-29 09:00:00 to 2021-01-31 09:00:00,24.821232361138936,245
