normalized_period,symbol,original_period,out_sample_range,winning_trades,total_trades,win_rate,net_profit,selected_based_on_period
4,BTCUSDT,4,2019-10-02 17:45:00 to 2019-10-04 17:45:00,0,0,0.0,0.0,3
5,BTCUSDT,5,2019-10-05 17:45:00 to 2019-10-07 17:45:00,0,0,0.0,0.0,4
10,BTCUSDT,8,2019-10-14 17:45:00 to 2019-10-16 17:45:00,0,0,0.0,0.0,9
11,BTCUSDT,9,2019-10-17 17:45:00 to 2019-10-19 17:45:00,0,1,0.0,-0.2708480216495279,10
16,BTCUSDT,12,2019-10-26 17:45:00 to 2019-10-28 17:45:00,0,0,0.0,0.0,15
17,BTCUSDT,13,2019-10-29 17:45:00 to 2019-10-31 17:45:00,0,0,0.0,0.0,16
22,BTCUSDT,16,2019-11-07 17:45:00 to 2019-11-09 17:45:00,0,0,0.0,0.0,21
23,BTCUSDT,17,2019-11-10 17:45:00 to 2019-11-12 17:45:00,0,0,0.0,0.0,22
28,BTCUSDT,20,2019-11-19 17:45:00 to 2019-11-21 17:45:00,0,0,0.0,0.0,27
29,BTCUSDT,21,2019-11-22 17:45:00 to 2019-11-24 17:45:00,0,1,0.0,-2.0086374924563333,28
34,BTCUSDT,24,2019-12-01 17:45:00 to 2019-12-03 17:45:00,0,0,0.0,0.0,33
35,BTCUSDT,25,2019-12-04 17:45:00 to 2019-12-06 17:45:00,0,0,0.0,0.0,34
40,BTCUSDT,28,2019-12-13 17:45:00 to 2019-12-15 17:45:00,0,0,0.0,0.0,39
41,BTCUSDT,29,2019-12-16 17:45:00 to 2019-12-18 17:45:00,1,1,100.0,0.024888373253939555,40
43,ETHUSDT,4,2019-12-21 07:45:00 to 2019-12-23 07:45:00,0,0,0.0,0.0,42
47,BTCUSDT,33,2019-12-28 17:45:00 to 2019-12-30 17:45:00,0,0,0.0,0.0,46
48,ETHUSDT,7,2019-12-30 07:45:00 to 2020-01-01 07:45:00,0,0,0.0,0.0,47
49,ETHUSDT,8,2020-01-02 07:45:00 to 2020-01-04 07:45:00,0,1,0.0,-1.7776939579847273,48
51,BCHUSDT,2,2020-01-06 08:45:00 to 2020-01-08 08:45:00,0,1,0.0,-1.1576424969583665,50
53,BTCUSDT,37,2020-01-09 17:45:00 to 2020-01-11 17:45:00,1,1,100.0,0.19023921369767383,52
55,ETHUSDT,12,2020-01-14 07:45:00 to 2020-01-16 07:45:00,0,0,0.0,0.0,54
56,BCHUSDT,5,2020-01-15 08:45:00 to 2020-01-17 08:45:00,1,1,100.0,2.684496801469405,55
57,BCHUSDT,6,2020-01-18 08:45:00 to 2020-01-20 08:45:00,0,1,0.0,-0.5991456498007697,56
58,BTCUSDT,40,2020-01-18 17:45:00 to 2020-01-20 17:45:00,0,0,0.0,0.0,57
59,BTCUSDT,41,2020-01-21 17:45:00 to 2020-01-23 17:45:00,0,1,0.0,-0.7096197756815137,58
61,EOSUSDT,2,2020-01-26 08:00:00 to 2020-01-28 08:00:00,0,0,0.0,0.0,60
62,BCHUSDT,9,2020-01-27 08:45:00 to 2020-01-29 08:45:00,0,1,0.0,-1.2987160299495648,61
63,XRPUSDT,4,2020-01-30 08:15:00 to 2020-02-01 08:15:00,0,1,0.0,-0.7778520081515361,62
64,BTCUSDT,44,2020-01-30 17:45:00 to 2020-02-01 17:45:00,0,0,0.0,0.0,63
65,BTCUSDT,45,2020-02-02 17:45:00 to 2020-02-04 17:45:00,0,0,0.0,0.0,64
67,ETHUSDT,20,2020-02-07 07:45:00 to 2020-02-09 07:45:00,0,1,0.0,-1.0625697936122225,66
69,TRXUSDT,5,2020-02-11 08:00:00 to 2020-02-13 08:00:00,0,1,0.0,-0.8566401502852927,68
71,BTCUSDT,49,2020-02-14 17:45:00 to 2020-02-16 17:45:00,0,0,0.0,0.0,70
72,LINKUSDT,6,2020-02-16 08:00:00 to 2020-02-18 08:00:00,0,1,0.0,-3.411196867334998,71
73,EOSUSDT,10,2020-02-19 08:00:00 to 2020-02-21 08:00:00,0,1,0.0,-2.9184596456230505,72
75,LTCUSDT,11,2020-02-23 08:00:00 to 2020-02-25 08:00:00,0,0,0.0,0.0,74
76,XTZUSDT,2,2020-02-24 08:00:00 to 2020-02-26 08:00:00,1,1,100.0,8.864096118796173,75
77,XTZUSDT,3,2020-02-27 08:00:00 to 2020-02-29 08:00:00,1,1,100.0,2.7095159354955323,76
78,LINKUSDT,10,2020-02-28 08:00:00 to 2020-03-01 08:00:00,1,1,100.0,1.4663753520840705,77
79,LINKUSDT,11,2020-03-02 08:00:00 to 2020-03-04 08:00:00,0,0,0.0,0.0,78
81,BCHUSDT,22,2020-03-06 08:45:00 to 2020-03-08 08:45:00,0,0,0.0,0.0,80
82,XTZUSDT,6,2020-03-07 08:00:00 to 2020-03-09 08:00:00,1,1,100.0,4.472024687877063,81
83,IOTAUSDT,5,2020-03-10 08:00:00 to 2020-03-12 08:00:00,0,1,0.0,-1.9561790635219123,82
84,ATOMUSDT,7,2020-03-11 12:00:00 to 2020-03-13 12:00:00,1,2,50.0,13.854938454007943,83
85,ATOMUSDT,8,2020-03-14 12:00:00 to 2020-03-16 12:00:00,0,0,0.0,0.0,84
86,VETUSDT,6,2020-03-15 08:00:00 to 2020-03-17 08:00:00,1,1,100.0,7.722493400819874,85
87,VETUSDT,7,2020-03-18 08:00:00 to 2020-03-20 08:00:00,0,0,0.0,0.0,86
