normalized_period,symbol,original_period,out_sample_range,winning_trades,total_trades,win_rate,net_profit,selected_based_on_period
42,ETHUSDT,3,2019-12-18 07:45:00 to 2019-12-20 07:45:00,1,1,100.0,0.5606662045075206,41
46,BTCUSDT,32,2019-12-25 17:45:00 to 2019-12-27 17:45:00,0,0,0.0,0.0,45
52,BTCUSDT,36,2020-01-06 17:45:00 to 2020-01-08 17:45:00,0,0,0.0,0.0,51
61,ETHUSDT,16,2020-01-26 07:45:00 to 2020-01-28 07:45:00,0,0,0.0,0.0,60
62,XRPUSDT,3,2020-01-27 08:15:00 to 2020-01-29 08:15:00,0,0,0.0,0.0,61
63,LTCUSDT,3,2020-01-30 08:00:00 to 2020-02-01 08:00:00,0,1,0.0,-1.9980768117940695,62
65,ETCUSDT,2,2020-02-03 08:00:00 to 2020-02-05 08:00:00,0,1,0.0,-0.8363355108236159,64
67,XLMUSDT,2,2020-02-07 08:00:00 to 2020-02-09 08:00:00,0,1,0.0,-2.5867720467247612,66
68,TRXUSDT,4,2020-02-08 08:00:00 to 2020-02-10 08:00:00,1,1,100.0,1.083073341810259,67
69,BCHUSDT,14,2020-02-11 08:45:00 to 2020-02-13 08:45:00,0,0,0.0,0.0,68
71,ETCUSDT,6,2020-02-15 08:00:00 to 2020-02-17 08:00:00,0,0,0.0,0.0,70
72,XLMUSDT,5,2020-02-16 08:00:00 to 2020-02-18 08:00:00,1,1,100.0,4.575584640362207,71
73,XLMUSDT,6,2020-02-19 08:00:00 to 2020-02-21 08:00:00,1,1,100.0,2.0341385746174945,72
75,ZECUSDT,2,2020-02-23 08:00:00 to 2020-02-25 08:00:00,0,1,0.0,-0.5532540493410232,74
77,ETCUSDT,10,2020-02-27 08:00:00 to 2020-02-29 08:00:00,0,0,0.0,0.0,76
79,ETHUSDT,28,2020-03-02 07:45:00 to 2020-03-04 07:45:00,0,1,0.0,-0.758179593051711,78
81,TRXUSDT,13,2020-03-06 08:00:00 to 2020-03-08 08:00:00,0,0,0.0,0.0,80
83,XTZUSDT,7,2020-03-10 08:00:00 to 2020-03-12 08:00:00,1,1,100.0,1.145153281116884,82
84,DASHUSDT,8,2020-03-11 08:00:00 to 2020-03-13 08:00:00,1,2,50.0,-5.227768853786742,83
85,LINKUSDT,15,2020-03-14 08:00:00 to 2020-03-16 08:00:00,0,1,0.0,-0.8028960609212765,84
86,BCHUSDT,25,2020-03-15 08:45:00 to 2020-03-17 08:45:00,0,0,0.0,0.0,85
87,ONTUSDT,8,2020-03-18 08:00:00 to 2020-03-20 08:00:00,0,0,0.0,0.0,86
88,ETCUSDT,17,2020-03-19 08:00:00 to 2020-03-21 08:00:00,0,1,0.0,-1.644898026686803,87
89,IOTAUSDT,9,2020-03-22 08:00:00 to 2020-03-24 08:00:00,0,0,0.0,0.0,88
91,ETHUSDT,36,2020-03-26 07:45:00 to 2020-03-28 07:45:00,0,0,0.0,0.0,90
93,NEOUSDT,10,2020-03-30 08:45:00 to 2020-04-01 08:45:00,0,0,0.0,0.0,92
95,XMRUSDT,16,2020-04-03 08:00:00 to 2020-04-05 08:00:00,0,0,0.0,0.0,94
97,ETHUSDT,40,2020-04-07 07:45:00 to 2020-04-09 07:45:00,1,1,100.0,1.3496593245888588,96
99,BCHUSDT,34,2020-04-11 08:45:00 to 2020-04-13 08:45:00,0,1,0.0,-0.979425208602791,98
101,IOSTUSDT,14,2020-04-15 08:00:00 to 2020-04-17 08:00:00,1,1,100.0,2.845203765104065,100
103,ETHUSDT,44,2020-04-19 07:45:00 to 2020-04-21 07:45:00,0,1,0.0,-1.193929930890203,102
105,NEOUSDT,18,2020-04-23 08:45:00 to 2020-04-25 08:45:00,0,0,0.0,0.0,104
107,IOSTUSDT,18,2020-04-27 08:00:00 to 2020-04-29 08:00:00,0,1,0.0,-0.41571220012330823,106
109,BNBUSDT,23,2020-05-01 08:00:00 to 2020-05-03 08:00:00,0,0,0.0,0.0,108
110,NEOUSDT,21,2020-05-02 08:45:00 to 2020-05-04 08:45:00,0,1,0.0,-1.4360237653868957,109
111,BCHUSDT,42,2020-05-05 08:45:00 to 2020-05-07 08:45:00,0,1,0.0,-1.1320055787603533,110
113,BTCUSDT,77,2020-05-08 17:45:00 to 2020-05-10 17:45:00,0,0,0.0,0.0,112
115,DASHUSDT,29,2020-05-13 08:00:00 to 2020-05-15 08:00:00,0,0,0.0,0.0,114
116,TRXUSDT,36,2020-05-14 08:00:00 to 2020-05-16 08:00:00,0,1,0.0,-0.9617447740086105,115
117,ONTUSDT,28,2020-05-17 08:00:00 to 2020-05-19 08:00:00,0,0,0.0,0.0,116
119,IOSTUSDT,26,2020-05-21 08:00:00 to 2020-05-23 08:00:00,0,1,0.0,-2.8947476225190227,118
121,ETHUSDT,56,2020-05-25 07:45:00 to 2020-05-27 07:45:00,0,0,0.0,0.0,120
123,BCHUSDT,50,2020-05-29 08:45:00 to 2020-05-31 08:45:00,0,0,0.0,0.0,122
124,ETCUSDT,41,2020-05-30 08:00:00 to 2020-06-01 08:00:00,0,1,0.0,-0.234646564719454,123
125,IOTAUSDT,33,2020-06-02 08:00:00 to 2020-06-04 08:00:00,0,1,0.0,-2.081301595031515,124
127,BNBUSDT,35,2020-06-06 08:00:00 to 2020-06-08 08:00:00,0,1,0.0,-0.6367038560889049,126
129,XRPUSDT,48,2020-06-10 08:15:00 to 2020-06-12 08:15:00,0,0,0.0,0.0,128
131,THETAUSDT,2,2020-06-14 08:00:00 to 2020-06-16 08:00:00,1,1,100.0,1.2901537821993658,130
133,LINKUSDT,47,2020-06-18 08:00:00 to 2020-06-20 08:00:00,0,0,0.0,0.0,132
135,BCHUSDT,58,2020-06-22 08:45:00 to 2020-06-24 08:45:00,0,0,0.0,0.0,134
136,ETCUSDT,49,2020-06-23 08:00:00 to 2020-06-25 08:00:00,0,0,0.0,0.0,135
137,IOSTUSDT,38,2020-06-26 08:00:00 to 2020-06-28 08:00:00,1,1,100.0,4.7720576766721035,136
139,BATUSDT,42,2020-06-30 08:00:00 to 2020-07-02 08:00:00,0,1,0.0,-0.47995233286260985,138
141,BCHUSDT,62,2020-07-04 08:45:00 to 2020-07-06 08:45:00,0,0,0.0,0.0,140
142,ETCUSDT,53,2020-07-05 08:00:00 to 2020-07-07 08:00:00,0,0,0.0,0.0,141
143,IOSTUSDT,42,2020-07-08 08:00:00 to 2020-07-10 08:00:00,0,0,0.0,0.0,142
145,LINKUSDT,55,2020-07-12 08:00:00 to 2020-07-14 08:00:00,1,1,100.0,0.9485681753393704,144
147,KNCUSDT,4,2020-07-16 08:45:00 to 2020-07-18 08:45:00,0,1,0.0,-2.1266982402795342,146
149,THETAUSDT,14,2020-07-20 08:00:00 to 2020-07-22 08:00:00,0,0,0.0,0.0,148
151,DASHUSDT,53,2020-07-24 08:00:00 to 2020-07-26 08:00:00,0,0,0.0,0.0,150
152,TRXUSDT,60,2020-07-25 08:00:00 to 2020-07-27 08:00:00,0,0,0.0,0.0,151
153,QTUMUSDT,49,2020-07-28 08:00:00 to 2020-07-30 08:00:00,0,1,0.0,-1.3384579269919317,152
155,ETCUSDT,62,2020-08-01 08:00:00 to 2020-08-03 08:00:00,0,1,0.0,-2.0788618979465157,154
157,ATOMUSDT,56,2020-08-05 12:00:00 to 2020-08-07 12:00:00,0,0,0.0,0.0,156
159,BCHUSDT,74,2020-08-09 08:45:00 to 2020-08-11 08:45:00,1,1,100.0,2.467295247266321,158
161,ETCUSDT,66,2020-08-13 08:00:00 to 2020-08-15 08:00:00,0,1,0.0,-1.073144460894171,160
162,SXPUSDT,4,2020-08-14 09:00:00 to 2020-08-16 09:00:00,2,4,50.0,-2.1135103963950908,161
163,ZILUSDT,16,2020-08-17 09:00:00 to 2020-08-19 09:00:00,1,1,100.0,0.579642188076468,162
165,RLCUSDT,3,2020-08-21 07:00:00 to 2020-08-23 07:00:00,1,2,50.0,-0.4972859921439472,164
167,XTZUSDT,63,2020-08-25 08:00:00 to 2020-08-27 08:00:00,1,2,50.0,0.7158380702089073,166
169,LINKUSDT,71,2020-08-29 08:00:00 to 2020-08-31 08:00:00,0,0,0.0,0.0,168
170,KAVAUSDT,7,2020-08-30 07:00:00 to 2020-09-01 07:00:00,1,1,100.0,3.173608301618347,169
171,KNCUSDT,20,2020-09-02 08:45:00 to 2020-09-04 08:45:00,0,0,0.0,0.0,170
173,IOTAUSDT,65,2020-09-06 08:00:00 to 2020-09-08 08:00:00,0,1,0.0,-5.037250757037926,172
174,SXPUSDT,12,2020-09-07 09:00:00 to 2020-09-09 09:00:00,1,1,100.0,5.630954479152006,173
175,LINKUSDT,75,2020-09-10 08:00:00 to 2020-09-12 08:00:00,0,0,0.0,0.0,174
