normalized_period,symbol,original_period,out_sample_range,winning_trades,total_trades,win_rate,net_profit,selected_based_on_period
54,ETHUSDT,11,2020-01-11 07:45:00 to 2020-01-13 07:45:00,0,0,0.0,0.0,53
62,LTCUSDT,2,2020-01-27 08:00:00 to 2020-01-29 08:00:00,0,1,0.0,-1.171932293937239,61
63,BCHUSDT,10,2020-01-30 08:45:00 to 2020-02-01 08:45:00,0,1,0.0,-0.49626598145686707,62
66,ETHUSDT,19,2020-02-04 07:45:00 to 2020-02-06 07:45:00,0,0,0.0,0.0,65
67,EOSUSDT,6,2020-02-07 08:00:00 to 2020-02-09 08:00:00,0,1,0.0,-0.9151634043710888,66
68,BCHUSDT,13,2020-02-08 08:45:00 to 2020-02-10 08:45:00,0,1,0.0,-1.628784888282342,67
69,XRPUSDT,8,2020-02-11 08:15:00 to 2020-02-13 08:15:00,0,1,0.0,-0.6608816933049488,68
70,BTCUSDT,48,2020-02-11 17:45:00 to 2020-02-13 17:45:00,0,0,0.0,0.0,69
73,ETHUSDT,24,2020-02-19 07:45:00 to 2020-02-21 07:45:00,1,1,100.0,3.783964650424143,72
74,LTCUSDT,10,2020-02-20 08:00:00 to 2020-02-22 08:00:00,1,1,100.0,0.8583036051165838,73
75,XRPUSDT,12,2020-02-23 08:15:00 to 2020-02-25 08:15:00,0,0,0.0,0.0,74
76,ETCUSDT,9,2020-02-24 08:00:00 to 2020-02-26 08:00:00,0,0,0.0,0.0,75
77,XMRUSDT,4,2020-02-27 08:00:00 to 2020-02-29 08:00:00,0,1,0.0,-1.3392473997661636,76
79,EOSUSDT,14,2020-03-02 08:00:00 to 2020-03-04 08:00:00,0,0,0.0,0.0,78
80,TRXUSDT,12,2020-03-03 08:00:00 to 2020-03-05 08:00:00,0,0,0.0,0.0,79
81,VETUSDT,3,2020-03-06 08:00:00 to 2020-03-08 08:00:00,0,0,0.0,0.0,80
83,BTCUSDT,57,2020-03-09 17:45:00 to 2020-03-11 17:45:00,0,1,0.0,-0.02879120281911174,82
84,ETHUSDT,31,2020-03-11 07:45:00 to 2020-03-13 07:45:00,1,2,50.0,-1.6586646353641292,83
85,BNBUSDT,7,2020-03-14 08:00:00 to 2020-03-16 08:00:00,0,0,0.0,0.0,84
86,LTCUSDT,18,2020-03-15 08:00:00 to 2020-03-17 08:00:00,0,0,0.0,0.0,85
87,TRXUSDT,17,2020-03-18 08:00:00 to 2020-03-20 08:00:00,0,0,0.0,0.0,86
88,XMRUSDT,11,2020-03-19 08:00:00 to 2020-03-21 08:00:00,0,1,0.0,-3.106458979622062,87
89,BTCUSDT,61,2020-03-21 17:45:00 to 2020-03-23 17:45:00,0,0,0.0,0.0,88
91,BNBUSDT,11,2020-03-26 08:00:00 to 2020-03-28 08:00:00,0,0,0.0,0.0,90
92,BCHUSDT,29,2020-03-27 08:45:00 to 2020-03-29 08:45:00,1,1,100.0,0.3843304424690608,91
93,LTCUSDT,23,2020-03-30 08:00:00 to 2020-04-01 08:00:00,0,0,0.0,0.0,92
95,BTCUSDT,65,2020-04-02 17:45:00 to 2020-04-04 17:45:00,0,1,0.0,-1.3780339893698978,94
97,BNBUSDT,15,2020-04-07 08:00:00 to 2020-04-09 08:00:00,0,1,0.0,-1.963374868350487,96
99,TRXUSDT,25,2020-04-11 08:00:00 to 2020-04-13 08:00:00,0,0,0.0,0.0,98
101,BTCUSDT,69,2020-04-14 17:45:00 to 2020-04-16 17:45:00,0,1,0.0,-2.080529104170059,100
103,BNBUSDT,19,2020-04-19 08:00:00 to 2020-04-21 08:00:00,0,0,0.0,0.0,102
105,TRXUSDT,29,2020-04-23 08:00:00 to 2020-04-25 08:00:00,0,0,0.0,0.0,104
