datetime,equity,volume,symbol,normalized_period
2020-02-15 08:00:00,10000.0,,EOSUSDT,72
2020-02-16 03:30:00,10140.639668719474,20923960.79999999,EOSUSDT,72
2020-02-17 12:15:00,9524.914446569635,22732399.000000004,EOSUSDT,72
2020-02-27 08:00:00,9524.914446569635,,XLMUSDT,78
2020-03-05 08:00:00,9524.914446569635,,ZECUSDT,81
2020-03-14 08:00:00,9524.914446569635,,VETUSDT,86
2020-03-16 11:45:00,8842.085014806335,1204614594.0,VETUSDT,86
2020-03-17 08:00:00,8842.085014806335,,ZECUSDT,87
2020-03-29 08:00:00,8842.085014806335,,QTUMUSDT,93
2020-03-30 05:15:00,8991.743134052402,359742.5,QTUMUSDT,93
2020-04-03 07:45:00,8991.743134052402,,ETHUSDT,96
2020-04-07 08:00:00,8991.743134052402,,LTCUSDT,98
2020-04-10 08:00:00,8991.743134052402,,ONTUSDT,99
2020-04-13 07:00:00,8882.297748105273,4528921.600000001,ONTUSDT,99
2020-04-19 08:00:00,8882.297748105273,,ONTUSDT,104
2020-04-22 08:00:00,8882.297748105273,,LTCUSDT,105
2020-04-27 08:00:00,8882.297748105273,,BNBUSDT,108
2020-05-01 08:45:00,8882.297748105273,,BCHUSDT,110
2020-05-04 08:00:00,8882.297748105273,,ZECUSDT,111
2020-05-09 07:45:00,8882.297748105273,,ETHUSDT,114
2020-05-11 12:30:00,9009.425954705683,1956874.5960000004,ETHUSDT,114
2020-05-11 20:00:00,9149.522482625453,2098311.7130000005,ETHUSDT,114
2020-05-16 08:00:00,9149.522482625453,,TRXUSDT,117
2020-05-21 08:00:00,9149.522482625453,,BNBUSDT,120
2020-05-25 08:00:00,9149.522482625453,,ONTUSDT,122
2020-05-28 08:00:00,9149.522482625453,,QTUMUSDT,123
2020-06-02 08:00:00,9149.522482625453,,BNBUSDT,126
2020-06-06 08:15:00,9149.522482625453,,XRPUSDT,128
2020-06-09 08:45:00,9149.522482625453,,BCHUSDT,129
2020-06-13 08:00:00,9149.522482625453,,IOSTUSDT,131
2020-06-14 08:00:00,9247.888832436147,,EOSUSDT,132
2020-06-15 16:15:00,9387.710092164354,11778026.400000002,EOSUSDT,132
2020-06-16 04:00:00,9247.888832436147,2890434848.0,IOSTUSDT,131
2020-06-21 08:00:00,9387.710092164354,,QTUMUSDT,135
2020-06-25 08:00:00,9387.710092164354,,XTZUSDT,137
2020-06-26 08:00:00,9415.683672134273,,EOSUSDT,138
2020-06-26 10:15:00,9471.450972613913,8856961.100000001,XTZUSDT,137
2020-06-28 05:45:00,9415.683672134273,8901923.399999999,XTZUSDT,137
2020-06-28 16:15:00,9686.39795122924,6660875.000000002,EOSUSDT,138
2020-07-03 08:00:00,9686.39795122924,,QTUMUSDT,141
2020-07-07 08:00:00,9686.39795122924,,XMRUSDT,143
2020-07-08 07:45:00,9686.39795122924,,ETHUSDT,144
2020-07-11 08:00:00,9686.39795122924,,BNBUSDT,145
2020-07-13 08:00:00,9770.493920311495,3558005.09,BNBUSDT,145
2020-07-14 01:15:00,9905.676929834386,3494543.959999999,BNBUSDT,145
2020-07-15 08:00:00,9905.676929834386,,QTUMUSDT,147
2020-07-16 08:00:00,9892.699455190987,,XTZUSDT,148
2020-07-16 18:30:00,9892.699455190987,8409330.699999996,QTUMUSDT,147
2020-07-17 07:15:00,10010.234649853188,81766116.89999998,XTZUSDT,148
2020-07-19 08:00:00,10010.234649853186,,IOSTUSDT,149
2020-07-20 07:45:00,10183.408408844383,,ETHUSDT,150
2020-07-21 10:15:00,10183.408408844383,3587075736.0,IOSTUSDT,149
2020-07-23 08:00:00,10183.408408844383,,XLMUSDT,151
2020-07-24 14:15:00,10175.981504809435,445361813.0,XLMUSDT,151
2020-07-27 08:45:00,10175.981504809435,,NEOUSDT,153
2020-07-31 08:00:00,10175.981504809435,,XTZUSDT,155
2020-08-02 09:00:00,10695.305833723502,30969888.899999987,XTZUSDT,155
2020-08-02 14:45:00,10851.969043147445,42069881.40000003,XTZUSDT,155
2020-08-04 09:00:00,10851.969043147445,,ZILUSDT,157
2020-08-05 08:00:00,10851.969043147445,,VETUSDT,158
2020-08-08 02:00:00,10915.488274519008,2565005838.0,VETUSDT,158
2020-08-08 09:00:00,10915.488274519008,,DOGEUSDT,159
2020-08-09 11:15:00,10932.637712487936,1120762684.0,DOGEUSDT,159
2020-08-09 11:45:00,10938.530391089376,1213360616.0,DOGEUSDT,159
2020-08-10 08:45:00,10959.931881186614,1223697596.0,DOGEUSDT,159
2020-08-12 08:00:00,10959.931881186612,,XMRUSDT,161
2020-08-13 07:45:00,11115.462573261759,,ETHUSDT,162
2020-08-13 11:30:00,11115.462573261759,143256.15299999996,XMRUSDT,161
2020-08-16 08:00:00,11115.462573261759,,XLMUSDT,163
2020-08-17 08:45:00,11546.321943138006,,KNCUSDT,164
2020-08-17 16:45:00,11478.256627254705,674803931.0,XLMUSDT,163
2020-08-18 16:15:00,11324.07280713306,10770625.0,KNCUSDT,164
2020-08-18 17:45:00,11462.902618501346,582694414.0,XLMUSDT,163
2020-08-19 01:15:00,11402.45926843553,11923536.0,KNCUSDT,164
2020-08-19 07:45:00,11546.321943138006,309447413.0,XLMUSDT,163
2020-08-19 13:15:00,11246.271524456068,11273758.0,KNCUSDT,164
2020-08-19 21:15:00,11363.288163631645,10673641.0,KNCUSDT,164
2020-08-20 08:00:00,11363.288163631643,,ONTUSDT,165
2020-08-21 07:00:00,11417.68127288385,,BANDUSDT,166
2020-08-21 14:45:00,11260.99901736386,52780164.70000003,ONTUSDT,165
2020-08-21 17:30:00,11434.033537592431,77609170.89999999,ONTUSDT,165
2020-08-21 19:15:00,11596.683507464904,80819926.99999997,ONTUSDT,165
2020-08-22 03:00:00,11417.68127288385,81915546.49999996,ONTUSDT,165
2020-08-22 05:30:00,11688.249327476247,7414082.500000002,BANDUSDT,166
2020-08-22 22:45:00,11910.617592115072,8657005.100000003,BANDUSDT,166
2020-08-23 08:00:00,11669.938667765335,8571546.700000007,BANDUSDT,166
2020-08-23 16:00:00,11778.87189582491,7977895.400000005,BANDUSDT,166
2020-08-24 03:15:00,11914.94413116842,4169724.4,BANDUSDT,166
2020-08-24 08:00:00,11914.94413116842,,THETAUSDT,167
2020-08-25 09:00:00,11836.24998921721,,ZRXUSDT,168
2020-08-25 11:15:00,11711.141741059228,142794394.39999998,THETAUSDT,167
2020-08-25 22:30:00,11623.678721622015,117885507.60000002,THETAUSDT,167
2020-08-26 02:15:00,11889.395916981739,39556885.4,ZRXUSDT,168
2020-08-26 14:45:00,11836.24998921721,88170648.19999996,THETAUSDT,167
2020-08-26 14:45:00,12001.153424144919,37132237.00000001,ZRXUSDT,168
2020-08-27 13:30:00,12073.737561748141,37184882.79999999,ZRXUSDT,168
2020-08-28 02:00:00,12074.288519901867,38300678.0,ZRXUSDT,168
2020-08-28 07:45:00,12074.288519901867,,ETHUSDT,169
2020-09-01 08:00:00,12074.288519901867,,ONTUSDT,171
2020-09-05 07:00:00,12074.288519901867,,MKRUSDT,173
2020-09-06 07:15:00,12176.022385276241,28931.367,MKRUSDT,173
2020-09-07 09:30:00,12169.596250203236,24582.46000000002,MKRUSDT,173
2020-09-09 09:00:00,12169.596250203236,,COMPUSDT,175
2020-09-11 13:30:00,12631.91154509091,136737.56399999998,COMPUSDT,175
2020-09-13 08:15:00,12631.91154509091,,XRPUSDT,177
2020-09-14 07:00:00,12738.0228108533,,DOTUSDT,178
2020-09-16 04:00:00,12738.022810853301,155028075.5,XRPUSDT,177
2020-09-17 07:00:00,12738.0228108533,,DEFIUSDT,179
2020-09-21 12:00:00,12738.0228108533,,ATOMUSDT,181
2020-09-24 06:15:00,12878.468089794202,3173361.720000001,ATOMUSDT,181
2020-09-25 08:00:00,12878.468089794202,,QTUMUSDT,183
2020-09-29 08:00:00,12878.468089794202,,ADAUSDT,185
2020-10-03 08:00:00,12878.468089794202,,LINKUSDT,187
2020-10-07 08:00:00,12878.468089794202,,LTCUSDT,189
2020-10-08 06:45:00,12878.468089794202,,ICXUSDT,190
2020-10-09 10:30:00,13011.537940058164,7565757.0,ICXUSDT,190
2020-10-10 15:45:00,13158.333069466758,8707852.0,ICXUSDT,190
2020-10-11 08:00:00,13158.333069466758,,XMRUSDT,191
2020-10-15 09:00:00,13158.333069466758,,ZRXUSDT,193
2020-10-16 05:30:00,13438.900340677383,13234810.400000012,ZRXUSDT,193
2020-10-16 08:00:00,13438.900340677383,,VETUSDT,194
2020-10-19 08:15:00,13438.900340677383,,XRPUSDT,195
2020-10-23 08:00:00,13438.900340677383,,THETAUSDT,197
2020-10-24 07:00:00,13438.900340677383,,BALUSDT,198
2020-10-27 00:30:00,13294.814536549122,672943.0999999999,BALUSDT,198
2020-10-27 08:00:00,13294.814536549122,,BNBUSDT,199
2020-10-31 08:00:00,13294.814536549122,,TRXUSDT,201
2020-11-04 08:00:00,13294.814536549122,,NEARUSDT,203
2020-11-05 07:00:00,13370.336893750524,,AAVEUSDT,204
2020-11-06 23:00:00,13370.336893750522,41150313.0,NEARUSDT,203
2020-11-06 23:00:00,13566.203095049183,1774397.1999999995,AAVEUSDT,204
2020-11-07 23:15:00,14219.300906020055,1941239.1000000003,AAVEUSDT,204
2020-11-08 08:00:00,14219.300906020053,,DASHUSDT,205
