normalized_period,symbol,original_period,out_sample_range,winning_trades,total_trades,win_rate,net_profit,selected_based_on_period
74,BCHUSDT,17,2020-02-20 08:45:00 to 2020-02-22 08:45:00,1,1,100.0,0.38473984508091696,73
82,IOTAUSDT,4,2020-03-07 08:00:00 to 2020-03-09 08:00:00,1,1,100.0,8.088046405261395,81
84,LINKUSDT,14,2020-03-11 08:00:00 to 2020-03-13 08:00:00,1,2,50.0,1.1965453438928293,83
100,XMRUSDT,19,2020-04-12 08:00:00 to 2020-04-14 08:00:00,0,1,0.0,-2.2301006515621613,99
102,XLMUSDT,25,2020-04-16 08:00:00 to 2020-04-18 08:00:00,0,0,0.0,0.0,101
118,XMRUSDT,31,2020-05-18 08:00:00 to 2020-05-20 08:00:00,0,0,0.0,0.0,117
122,LTCUSDT,42,2020-05-26 08:00:00 to 2020-05-28 08:00:00,0,0,0.0,0.0,121
124,IOTAUSDT,32,2020-05-30 08:00:00 to 2020-06-01 08:00:00,0,0,0.0,0.0,123
130,IOTAUSDT,36,2020-06-11 08:00:00 to 2020-06-13 08:00:00,1,1,100.0,4.760153081415641,129
136,IOTAUSDT,40,2020-06-23 08:00:00 to 2020-06-25 08:00:00,0,0,0.0,0.0,135
142,IOTAUSDT,44,2020-07-05 08:00:00 to 2020-07-07 08:00:00,0,0,0.0,0.0,141
150,COMPUSDT,3,2020-07-21 09:00:00 to 2020-07-23 09:00:00,1,1,100.0,0.08999122926103276,149
163,LINKUSDT,67,2020-08-17 08:00:00 to 2020-08-19 08:00:00,1,2,50.0,-0.7421667355445916,162
164,ALGOUSDT,17,2020-08-18 09:00:00 to 2020-08-20 09:00:00,1,1,100.0,3.6096946247541783,163
165,LTCUSDT,71,2020-08-21 08:00:00 to 2020-08-23 08:00:00,1,1,100.0,1.2028585248867962,164
169,ZILUSDT,20,2020-08-29 09:00:00 to 2020-08-31 09:00:00,0,0,0.0,0.0,168
171,QTUMUSDT,61,2020-09-02 08:00:00 to 2020-09-04 08:00:00,0,0,0.0,0.0,170
175,ETHUSDT,92,2020-09-10 07:45:00 to 2020-09-12 07:45:00,0,0,0.0,0.0,174
177,QTUMUSDT,65,2020-09-14 08:00:00 to 2020-09-16 08:00:00,0,0,0.0,0.0,176
179,YFIUSDT,2,2020-09-18 07:00:00 to 2020-09-20 07:00:00,0,0,0.0,0.0,178
181,XLMUSDT,78,2020-09-22 08:00:00 to 2020-09-24 08:00:00,0,1,0.0,-1.981451990848182,180
182,ZECUSDT,73,2020-09-23 08:00:00 to 2020-09-25 08:00:00,0,0,0.0,0.0,181
183,BCHUSDT,90,2020-09-26 08:45:00 to 2020-09-28 08:45:00,0,0,0.0,0.0,182
185,YFIUSDT,6,2020-09-30 07:00:00 to 2020-10-02 07:00:00,1,1,100.0,0.10719746008196473,184
186,BNBUSDT,74,2020-10-01 08:00:00 to 2020-10-03 08:00:00,1,1,100.0,1.4243309008432403,185
187,COMPUSDT,28,2020-10-04 09:00:00 to 2020-10-06 09:00:00,0,0,0.0,0.0,186
189,RLCUSDT,19,2020-10-08 07:00:00 to 2020-10-10 07:00:00,0,1,0.0,-2.949644108430105,188
191,YFIUSDT,10,2020-10-12 07:00:00 to 2020-10-14 07:00:00,0,1,0.0,-0.8749250258750396,190
193,RUNEUSDT,10,2020-10-16 07:00:00 to 2020-10-18 07:00:00,1,1,100.0,2.4275697047558387,192
195,KAVAUSDT,24,2020-10-20 07:00:00 to 2020-10-22 07:00:00,1,1,100.0,1.5504439216527777,194
197,IOTAUSDT,81,2020-10-24 08:00:00 to 2020-10-26 08:00:00,0,0,0.0,0.0,196
199,XLMUSDT,90,2020-10-28 08:00:00 to 2020-10-30 08:00:00,0,0,0.0,0.0,198
200,VETUSDT,82,2020-10-29 08:00:00 to 2020-10-31 08:00:00,1,1,100.0,1.8464629537645383,199
201,QTUMUSDT,81,2020-11-01 08:00:00 to 2020-11-03 08:00:00,0,0,0.0,0.0,200
203,XMRUSDT,88,2020-11-05 08:00:00 to 2020-11-07 08:00:00,1,1,100.0,1.138278549981231,202
204,XLMUSDT,93,2020-11-06 08:00:00 to 2020-11-08 08:00:00,0,1,0.0,-1.1454708669785485,203
205,BNBUSDT,87,2020-11-09 08:00:00 to 2020-11-11 08:00:00,0,0,0.0,0.0,204
207,KAVAUSDT,32,2020-11-13 07:00:00 to 2020-11-15 07:00:00,1,1,100.0,1.565973099470619,206
208,DEFIUSDT,22,2020-11-14 07:00:00 to 2020-11-16 07:00:00,1,1,100.0,1.5681142888233301,207
209,IOTAUSDT,89,2020-11-17 08:00:00 to 2020-11-19 08:00:00,0,0,0.0,0.0,208
210,CRVUSDT,22,2020-11-18 07:00:00 to 2020-11-20 07:00:00,1,1,100.0,0.24270212252865964,209
211,ETHUSDT,116,2020-11-21 07:45:00 to 2020-11-23 07:45:00,0,0,0.0,0.0,210
213,QTUMUSDT,89,2020-11-25 08:00:00 to 2020-11-27 08:00:00,0,1,0.0,-12.826785456693324,212
215,MKRUSDT,32,2020-11-29 07:00:00 to 2020-12-01 07:00:00,0,0,0.0,0.0,214
217,ZRXUSDT,50,2020-12-03 09:00:00 to 2020-12-05 09:00:00,0,1,0.0,-1.252131022306413,216
219,QTUMUSDT,93,2020-12-07 08:00:00 to 2020-12-09 08:00:00,0,0,0.0,0.0,218
221,XMRUSDT,100,2020-12-11 08:00:00 to 2020-12-13 08:00:00,0,1,0.0,-0.47346509206316334,220
223,SUSHIUSDT,30,2020-12-15 07:00:00 to 2020-12-17 07:00:00,0,1,0.0,-1.8906653068561319,222
225,NEOUSDT,98,2020-12-19 08:45:00 to 2020-12-21 08:45:00,1,1,100.0,0.4649502961981966,224
227,ADAUSDT,105,2020-12-23 08:00:00 to 2020-12-25 08:00:00,1,1,100.0,0.7295393302366726,226
228,SUSHIUSDT,33,2020-12-24 07:00:00 to 2020-12-26 07:00:00,1,1,100.0,1.4271023324176735,227
