normalized_period,symbol,original_period,out_sample_range,winning_trades,total_trades,win_rate,net_profit,selected_based_on_period
54,ETHUSDT,11,2020-01-11 07:45:00 to 2020-01-13 07:45:00,0,0,0.0,0.0,53
60,ETHUSDT,15,2020-01-23 07:45:00 to 2020-01-25 07:45:00,1,1,100.0,1.253616394003365,59
67,LINKUSDT,3,2020-02-07 08:00:00 to 2020-02-09 08:00:00,0,1,0.0,-1.3855393662794424,66
68,LTCUSDT,6,2020-02-08 08:00:00 to 2020-02-10 08:00:00,0,1,0.0,-2.0811642060184155,67
70,BTCUSDT,48,2020-02-11 17:45:00 to 2020-02-13 17:45:00,0,0,0.0,0.0,69
73,LINKUSDT,7,2020-02-19 08:00:00 to 2020-02-21 08:00:00,0,0,0.0,0.0,72
74,LTCUSDT,10,2020-02-20 08:00:00 to 2020-02-22 08:00:00,1,1,100.0,0.8583036051165838,73
75,BCHUSDT,18,2020-02-23 08:45:00 to 2020-02-25 08:45:00,0,1,0.0,-0.7308460104703984,74
77,XMRUSDT,4,2020-02-27 08:00:00 to 2020-02-29 08:00:00,0,1,0.0,-1.3392473997661636,76
79,ATOMUSDT,4,2020-03-02 12:00:00 to 2020-03-04 12:00:00,1,1,100.0,0.8053074872830246,78
81,ONTUSDT,4,2020-03-06 08:00:00 to 2020-03-08 08:00:00,0,0,0.0,0.0,80
82,ETCUSDT,13,2020-03-07 08:00:00 to 2020-03-09 08:00:00,0,1,0.0,-0.08336014525232027,81
83,BTCUSDT,57,2020-03-09 17:45:00 to 2020-03-11 17:45:00,0,1,0.0,-0.02879120281911174,82
84,ETHUSDT,31,2020-03-11 07:45:00 to 2020-03-13 07:45:00,1,2,50.0,-1.6586646353641292,83
85,BNBUSDT,7,2020-03-14 08:00:00 to 2020-03-16 08:00:00,0,0,0.0,0.0,84
86,LTCUSDT,18,2020-03-15 08:00:00 to 2020-03-17 08:00:00,0,0,0.0,0.0,85
87,BCHUSDT,26,2020-03-18 08:45:00 to 2020-03-20 08:45:00,0,0,0.0,0.0,86
88,XMRUSDT,11,2020-03-19 08:00:00 to 2020-03-21 08:00:00,0,1,0.0,-3.106458979622062,87
89,ETCUSDT,18,2020-03-22 08:00:00 to 2020-03-24 08:00:00,0,1,0.0,-0.6662109574773978,88
91,BNBUSDT,11,2020-03-26 08:00:00 to 2020-03-28 08:00:00,0,0,0.0,0.0,90
92,VETUSDT,10,2020-03-27 08:00:00 to 2020-03-29 08:00:00,1,1,100.0,3.3740396672301776,91
93,LTCUSDT,23,2020-03-30 08:00:00 to 2020-04-01 08:00:00,0,0,0.0,0.0,92
95,BTCUSDT,65,2020-04-02 17:45:00 to 2020-04-04 17:45:00,0,1,0.0,-1.3780339893698978,94
97,BNBUSDT,15,2020-04-07 08:00:00 to 2020-04-09 08:00:00,0,1,0.0,-1.963374868350487,96
99,NEOUSDT,14,2020-04-11 08:45:00 to 2020-04-13 08:45:00,0,1,0.0,-1.583111177149843,98
100,IOTAUSDT,16,2020-04-12 08:00:00 to 2020-04-14 08:00:00,0,1,0.0,-0.9030846713261376,99
101,ADAUSDT,21,2020-04-15 08:00:00 to 2020-04-17 08:00:00,0,1,0.0,-2.5079637864826476,100
103,BNBUSDT,19,2020-04-19 08:00:00 to 2020-04-21 08:00:00,0,0,0.0,0.0,102
104,BCHUSDT,37,2020-04-20 08:45:00 to 2020-04-22 08:45:00,0,1,0.0,-0.7903550957000904,103
105,ONTUSDT,20,2020-04-23 08:00:00 to 2020-04-25 08:00:00,0,0,0.0,0.0,104
107,XMRUSDT,24,2020-04-27 08:00:00 to 2020-04-29 08:00:00,0,0,0.0,0.0,106
109,ATOMUSDT,24,2020-05-01 12:00:00 to 2020-05-03 12:00:00,0,1,0.0,-3.181878947400274,108
111,ONTUSDT,24,2020-05-05 08:00:00 to 2020-05-07 08:00:00,0,0,0.0,0.0,110
112,ETCUSDT,33,2020-05-06 08:00:00 to 2020-05-08 08:00:00,0,1,0.0,-1.6149221346854925,111
113,ADAUSDT,29,2020-05-09 08:00:00 to 2020-05-11 08:00:00,0,1,0.0,-0.8546569536131421,112
115,XLMUSDT,34,2020-05-13 08:00:00 to 2020-05-15 08:00:00,0,0,0.0,0.0,114
117,LTCUSDT,39,2020-05-17 08:00:00 to 2020-05-19 08:00:00,0,0,0.0,0.0,116
119,XMRUSDT,32,2020-05-21 08:00:00 to 2020-05-23 08:00:00,0,1,0.0,-1.1618063857621208,118
121,BNBUSDT,31,2020-05-25 08:00:00 to 2020-05-27 08:00:00,0,0,0.0,0.0,120
123,NEOUSDT,30,2020-05-29 08:45:00 to 2020-05-31 08:45:00,0,0,0.0,0.0,122
125,ADAUSDT,37,2020-06-02 08:00:00 to 2020-06-04 08:00:00,0,1,0.0,-5.461012829421885,124
127,ATOMUSDT,36,2020-06-06 12:00:00 to 2020-06-08 12:00:00,0,1,0.0,-2.0442854874821337,126
129,VETUSDT,35,2020-06-10 08:00:00 to 2020-06-12 08:00:00,1,1,100.0,4.073476952533239,128
130,ETCUSDT,45,2020-06-11 08:00:00 to 2020-06-13 08:00:00,0,0,0.0,0.0,129
131,ETCUSDT,46,2020-06-14 08:00:00 to 2020-06-16 08:00:00,0,1,0.0,-0.29106641649054854,130
133,ETHUSDT,64,2020-06-18 07:45:00 to 2020-06-20 07:45:00,0,0,0.0,0.0,132
134,VETUSDT,38,2020-06-19 08:00:00 to 2020-06-21 08:00:00,0,0,0.0,0.0,133
135,ONTUSDT,40,2020-06-22 08:00:00 to 2020-06-24 08:00:00,0,0,0.0,0.0,134
137,XMRUSDT,44,2020-06-26 08:00:00 to 2020-06-28 08:00:00,0,1,0.0,-0.7347504474073174,136
139,LINKUSDT,51,2020-06-30 08:00:00 to 2020-07-02 08:00:00,0,0,0.0,0.0,138
141,NEOUSDT,42,2020-07-04 08:45:00 to 2020-07-06 08:45:00,0,0,0.0,0.0,140
143,BTCUSDT,97,2020-07-07 17:45:00 to 2020-07-09 17:45:00,0,0,0.0,0.0,142
145,ZILUSDT,4,2020-07-12 09:00:00 to 2020-07-14 09:00:00,1,1,100.0,0.7551070828821116,144
147,LTCUSDT,59,2020-07-16 08:00:00 to 2020-07-18 08:00:00,0,1,0.0,-0.5449239248040638,146
149,BTCUSDT,101,2020-07-19 17:45:00 to 2020-07-21 17:45:00,0,0,0.0,0.0,148
151,ETHUSDT,76,2020-07-24 07:45:00 to 2020-07-26 07:45:00,0,0,0.0,0.0,150
152,BCHUSDT,69,2020-07-25 08:45:00 to 2020-07-27 08:45:00,0,0,0.0,0.0,151
153,DOGEUSDT,2,2020-07-28 09:00:00 to 2020-07-30 09:00:00,1,1,100.0,0.27923788912915803,152
155,IOTAUSDT,53,2020-08-01 08:00:00 to 2020-08-03 08:00:00,1,1,100.0,1.1487338669782021,154
156,ZILUSDT,11,2020-08-02 09:00:00 to 2020-08-04 09:00:00,0,1,0.0,-7.097833342665605,155
157,LINKUSDT,63,2020-08-05 08:00:00 to 2020-08-07 08:00:00,0,1,0.0,-0.48686919632924264,156
158,ZECUSDT,57,2020-08-06 08:00:00 to 2020-08-08 08:00:00,1,1,100.0,2.2159824669801598,157
159,ONTUSDT,56,2020-08-09 08:00:00 to 2020-08-11 08:00:00,0,0,0.0,0.0,158
161,IOTAUSDT,57,2020-08-13 08:00:00 to 2020-08-15 08:00:00,0,0,0.0,0.0,160
163,COMPUSDT,12,2020-08-17 09:00:00 to 2020-08-19 09:00:00,1,1,100.0,4.660453187798863,162
165,KAVAUSDT,4,2020-08-21 07:00:00 to 2020-08-23 07:00:00,1,2,50.0,-2.8977831724305565,164
167,ETCUSDT,70,2020-08-25 08:00:00 to 2020-08-27 08:00:00,1,1,100.0,0.10303016307458002,166
168,ATOMUSDT,63,2020-08-26 12:00:00 to 2020-08-28 12:00:00,1,1,100.0,4.128790282946371,167
169,COMPUSDT,16,2020-08-29 09:00:00 to 2020-08-31 09:00:00,0,0,0.0,0.0,168
170,VETUSDT,62,2020-08-30 08:00:00 to 2020-09-01 08:00:00,0,0,0.0,0.0,169
171,BCHUSDT,82,2020-09-02 08:45:00 to 2020-09-04 08:45:00,0,0,0.0,0.0,170
173,ADAUSDT,69,2020-09-06 08:00:00 to 2020-09-08 08:00:00,0,1,0.0,-0.6472698208308647,172
174,BNBUSDT,66,2020-09-07 08:00:00 to 2020-09-09 08:00:00,1,1,100.0,0.9481852467613905,173
175,ZILUSDT,24,2020-09-10 09:00:00 to 2020-09-12 09:00:00,0,0,0.0,0.0,174
177,BCHUSDT,86,2020-09-14 08:45:00 to 2020-09-16 08:45:00,0,0,0.0,0.0,176
179,IOTAUSDT,69,2020-09-18 08:00:00 to 2020-09-20 08:00:00,0,1,0.0,-1.0895262717253273,178
181,BNBUSDT,71,2020-09-22 08:00:00 to 2020-09-24 08:00:00,0,0,0.0,0.0,180
183,ALGOUSDT,30,2020-09-26 09:00:00 to 2020-09-28 09:00:00,0,0,0.0,0.0,182
184,ETCUSDT,81,2020-09-27 08:00:00 to 2020-09-29 08:00:00,0,1,0.0,-0.7312754034615621,183
185,DEFIUSDT,7,2020-09-30 07:00:00 to 2020-10-02 07:00:00,0,1,0.0,-0.539944204547016,184
187,BALUSDT,7,2020-10-04 07:00:00 to 2020-10-06 07:00:00,0,0,0.0,0.0,186
188,VETUSDT,74,2020-10-05 08:00:00 to 2020-10-07 08:00:00,0,0,0.0,0.0,187
189,BCHUSDT,94,2020-10-08 08:45:00 to 2020-10-10 08:45:00,0,0,0.0,0.0,188
190,BANDUSDT,20,2020-10-09 07:00:00 to 2020-10-11 07:00:00,0,0,0.0,0.0,189
191,IOTAUSDT,77,2020-10-12 08:00:00 to 2020-10-14 08:00:00,0,0,0.0,0.0,190
193,STORJUSDT,6,2020-10-16 07:00:00 to 2020-10-18 07:00:00,1,1,100.0,2.8056131194867717,192
194,VETUSDT,78,2020-10-17 08:00:00 to 2020-10-19 08:00:00,0,0,0.0,0.0,193
195,ENJUSDT,3,2020-10-20 07:00:00 to 2020-10-22 07:00:00,1,1,100.0,1.3918608628951334,194
197,ETCUSDT,90,2020-10-24 08:00:00 to 2020-10-26 08:00:00,0,0,0.0,0.0,196
198,SNXUSDT,20,2020-10-25 07:00:00 to 2020-10-27 07:00:00,0,0,0.0,0.0,197
199,SUSHIUSDT,14,2020-10-28 07:00:00 to 2020-10-30 07:00:00,1,1,100.0,3.5684666169355506,198
201,ZECUSDT,86,2020-11-01 08:00:00 to 2020-11-03 08:00:00,0,0,0.0,0.0,200
202,XTZUSDT,86,2020-11-02 08:00:00 to 2020-11-04 08:00:00,1,1,100.0,2.352455710567658,201
203,YFIUSDT,18,2020-11-05 07:00:00 to 2020-11-07 07:00:00,1,1,100.0,9.984672366400037,202
205,ATOMUSDT,88,2020-11-09 12:00:00 to 2020-11-11 12:00:00,0,0,0.0,0.0,204
206,KAVAUSDT,31,2020-11-10 07:00:00 to 2020-11-12 07:00:00,0,0,0.0,0.0,205
207,VETUSDT,87,2020-11-13 08:00:00 to 2020-11-15 08:00:00,0,1,0.0,-2.6273774151260865,206
209,NEARUSDT,7,2020-11-17 08:00:00 to 2020-11-19 08:00:00,0,0,0.0,0.0,208
210,STORJUSDT,17,2020-11-18 07:00:00 to 2020-11-20 07:00:00,0,1,0.0,-0.6224173552629386,209
211,AAVEUSDT,8,2020-11-21 07:00:00 to 2020-11-23 07:00:00,1,1,100.0,10.326915708073535,210
213,DOGEUSDT,42,2020-11-25 09:00:00 to 2020-11-27 09:00:00,0,1,0.0,-14.82205712158986,212
215,XTZUSDT,95,2020-11-29 08:00:00 to 2020-12-01 08:00:00,1,1,100.0,0.9667014120405826,214
