Portfolio,Year,Month,Month Name,Year-Month,Start Date,End Date,Start Equity,End Equity,Monthly Return (%),Max Drawdown (%),Volatility (%),Number of Trades,Win Rate (%),Cumulative Return
top3,2020,1,January,2020-01,2020-01-17 17:45:00,2020-01-31 19:00:00,10000.0,10197.90756999915,1.979075699991495,0.0,9.394889307515493,2,50.0,10197.90756999915
top3,2020,2,February,2020-02,2020-02-03 07:45:00,2020-02-28 16:15:00,10197.90756999915,10641.595393770769,4.350773143668096,-4.465973247626975,20.052682806001254,3,33.33333333333333,10641.595393770769
top3,2020,3,March,2020-03,2020-03-01 08:00:00,2020-03-29 08:45:00,10641.595393770769,7518.7608153091405,-29.345548885363847,-35.60910204419091,101.93536037366889,4,0.0,7518.7608153091405
top3,2020,4,April,2020-04,2020-04-01 17:45:00,2020-04-30 08:00:00,7518.7608153091405,8090.8796146924,7.609216644029337,-2.7664914463123025,27.427562384187283,3,33.33333333333333,8090.879614692399
top3,2020,5,May,2020-05,2020-05-02 13:45:00,2020-05-31 17:45:00,8139.261706351962,8450.411383138598,3.8228243299243347,-0.0105019079048696,8.857581007674463,5,20.0,8400.17972910775
top3,2020,6,June,2020-06,2020-06-03 02:15:00,2020-06-30 08:45:00,8444.806800055307,9467.766515286778,12.113476831995396,-3.1974255178844557,34.424073618592885,4,25.0,9417.73355443919
top3,2020,7,July,2020-07,2020-07-03 08:00:00,2020-07-31 08:00:00,9467.766515286778,10328.6260914451,9.092530691038547,0.0,17.930978759194367,4,25.0,10274.043868276807
top3,2020,8,August,2020-08,2020-08-01 08:00:00,2020-08-29 08:00:00,10328.6260914451,13281.723931999768,28.591390707817688,-8.427845797239897,61.94993699590654,7,71.42857142857143,13211.535892148417
top3,2020,9,September,2020-09,2020-09-01 09:00:00,2020-09-29 08:00:00,13281.723931999768,14641.588626631656,10.238615872413636,-4.654016275568418,22.949153069265655,4,100.0,14564.21430299155
top3,2020,10,October,2020-10,2020-10-01 00:00:00,2020-10-31 07:00:00,14714.185999955052,15346.622388064952,4.298140502721881,-2.729046629220455,16.555279325077183,8,50.0,15190.204696851644
top3,2020,11,November,2020-11,2020-11-02 15:45:00,2020-11-30 11:15:00,15471.781472225435,18255.90931800083,17.994875708226576,-1.2933433214414425,18.704616162779104,5,60.0,17923.663151875295
top3,2020,12,December,2020-12,2020-12-01 07:45:00,2020-12-31 08:00:00,18465.15585550443,21505.375790257458,16.46463186416456,-6.993677290379985,37.894255101332,8,62.5,20874.728306404475
top3,2021,1,January,2021-01,2021-01-03 06:45:00,2021-01-31 07:00:00,21505.375790257458,26353.383058923693,22.54323437985455,-11.553308447083321,45.62086787889103,6,66.66666666666666,25580.567234675076
top3,2021,2,February,2021-02,2021-02-01 11:15:00,2021-02-28 07:00:00,27344.45656899681,34048.75717605484,24.5179515275479,-7.445106814431989,38.28322937190563,8,100.0,31852.398309744513
top3,2021,3,March,2021-03,2021-03-02 21:00:00,2021-03-28 07:00:00,34484.23923720359,47062.12245294266,36.474295196773035,-1.048029413792484,32.590616199926565,5,80.0,43470.33609649267
top3,2021,4,April,2021-04,2021-04-01 07:00:00,2021-04-29 08:45:00,47062.12245294266,48614.22907924267,3.297995384402741,-7.99900585770642,29.125993488428975,5,60.0,44903.98577453935
top3,2021,5,May,2021-05,2021-05-03 07:00:00,2021-05-31 07:00:00,48614.22907924267,66112.20421635515,35.99352590491613,-7.528704073617909,50.67853786930301,6,83.33333333333334,61066.51352663803
top3,2021,6,June,2021-06,2021-06-04 08:45:00,2021-06-30 17:45:00,66112.20421635515,70746.23826373693,7.009347369839158,-8.853132639184302,49.48926062588911,9,66.66666666666666,65346.87758636991
top3,2021,7,July,2021-07,2021-07-01 11:15:00,2021-07-31 09:00:00,71279.42828341288,62390.6104166273,-12.470383223954762,-18.142767709938866,104.05653121236816,6,66.66666666666666,57197.871526460985
top3,2021,8,August,2021-08,2021-08-01 12:45:00,2021-08-31 17:30:00,61199.22558625661,66013.41121535745,7.866415927625647,-5.4807675840028995,24.375247622849088,5,80.0,61697.29400248137
top3,2021,9,September,2021-09,2021-09-01 05:45:00,2021-09-30 10:15:00,66380.98479837326,79587.7372335032,19.895384913683255,-4.413820596204044,32.76092157004861,3,100.0,73972.20812560186
top3,2021,10,October,2021-10,2021-10-02 03:30:00,2021-10-31 05:00:00,79587.7372335032,76432.33856686504,-3.9646794548015563,-7.3357407925056854,27.25405682589901,2,0.0,71039.44718778307
